"","dcterms.references","dwc.phylum","dwc.collectionID","dwc.informationWithheld","dcterms.rightsHolder","dwc.maximumDepthInMeters","dwc.higherClassification","dwc.catalogNumber","dwc.latestEraOrHighestErathem","dwc.minimumDepthInMeters","symbiota.verbatimScientificName","dcterms.accessRights","dwc.rightsHolder","idigbio.associatedRelationship","idigbio.substrate","dwc.previousIdentifications","dwc.decimalLatitude","dwc.geodeticDatum","dwc.recordNumber","dwc.taxonRemarks","idigbio.recordID","dwc.associatedReferences","inhs.dead","row.number","idigbio.preparationCount","inhs.instars_Male","idigbio.hostFamily","inhs.location_Basin","dwc.scientificNameID","dwc.preparations","fcc.pickedBy","dwc.otherCatalogNumbers","idigbio.barcodeValue","dwc.day","dwc.eventDate","dcterms.source","inhs.formII_females","idigbio.associateCommonName","dwc.verbatimDepth","fcc.datePicked","dwc.taxonRank","dwc.datasetID","dwc.minimumElevationInMeters","dwc.georeferencedDate","dwc.maximumElevationInMeters","dwc.georeferenceVerificationStatus","dwc.country","dwc.disposition","dwc.individualID","dwc.latestPeriodOrHighestSystem","dwc.originalNameUsage","dwc.earliestEraOrLowestErathem","idigbio.subfamily","dwc.establishmentMeans","http...symbiota.org.terms.verbatimScientificName","idigbio.version","dwc.nameAccordingTo","dwc.fieldNotes","dwc.rights","dwc.infraspecificEpithet","dwc.dataGeneralizations","dwc.collectionCode","dwc.endDayOfYear","dcterms.modified","dwc.order","dwc.county","dcterms.language","dwc.identificationRemarks","dwc.samplingProtocol","dwc.verbatimTaxonRank","inhs.superfamily","dwc.verbatimSRS","dwc.locality","dwc.higherGeography","dwc.verbatimEventDate","dwc.group","dwc.georeferenceRemarks","idigbio.associateAuthor","dwc.institutionID","dwc.kingdom","dwc.accessRights","dwc.eventID","dwc.verbatimCoordinateSystem","dcterms.type","dwc.associatedTaxa","dwc.startDayOfYear","dwc.subgenus","dwc.identificationQualifier","inhs.total_Males","dwc.typeStatus","dwc.coordinatePrecision","dwc.stateProvince","dwc.georeferenceProtocol","idigbio.associateNotes","dwc.earliestPeriodOrLowestSystem","dwc.recordedBy","dwc.occurrenceStatus","dwc.footprintWKT","dwc.dynamicProperties","inhs.total_females","dwc.ownerInstitutionCode","dwc.earliestEpochOrLowestSeries","dwc.verbatimLongitude","dwc.year","dwc.family","dwc.georeferenceSources","dwc.eventTime","dwc.locationID","inhs.relic","dwc.nomenclaturalStatus","idigbio.associatedFamily","dwc.verbatimLocality","dwc.verbatimElevation","dwc.dateIdentified","dwc.samplingEffort","dwc.institutionCode","dwc.nomenclaturalCode","idigbio.determinationHistory","idigbio.tribe","inhs.vouchered","dcterms.rights","dwc.taxonID","symbiotaverbatimScientificName","dwc.decimalLongitude","dwc.locationAccordingTo","dwc.vernacularName","inhs.location_Stream","fcc.subfamily","idigbio.uuid","dwc.specificEpithet","dcterms.reference","inhs.juv_males","idigbio.subgenus","dwc.latestEpochOrHighestSeries","dwc.namePublishedIn","dwc.associatedMedia","idigbio.createdBy","dwc.behavior","dwc.individualCount","dwc.lowestBiostratigraphicZone","dwc.habitat","idigbio.associateDeterminedBy","dwc.namePublishedInID","inhs.locationTrs","dwc.VerbatimEventDate","inhs.location_RiverMile","dwc.verbatimLatitude","dwc.reproductiveCondition","dwc.month","inhs.formI_males","dwc.identificationReferences","id","dwc.occurrenceID","dwc.datasetName","dwc.identificationID","dwc.georeferencedBy","dwc.municipality","idigbio.recordIds","dwc.associatedOccurrences","dwc.formation","dwc.locationRemarks","idigbio.associateCondition","dwc.preparation","dwc.occurrenceRemarks","dwc.verbatimCoordinates","dwc.coordinateUncertaintyInMeters","dwc.bed","dwc.earliestAgeOrLowestStage","dwc.countryCode","dwc.relatedResourceID","dwc.lifeStage","fcc.superfamily","dwc.sex","idigbio.recordId","inhs.formII_males","dwc.associatedSequences","dwc.class","dwc.scientificName","dwc.eventRemarks","dwc.waterBody","dwc.lithostratigraphicTerms","dwc.continent","idigbio.associateIdentifier","dwc.identifiedBy","inhs.juv_undetermined","idigbio.preservative","inhs.juv_females","idigbio.endangeredStatus","dwc.basisOfRecord","dwc.islandGroup","dwc.identificationVerificationStatus","idigbio.dateModified","inhs.live","dwc.member","dwc.scientificNameAuthorship","dwc.island","dwc.fieldNumber","inhs.instars_Female","dcterms.bibliographicCitation","idigbio.etag","dwc.genus","dwc.latestAgeOrHighestStage","idigbio.associateRelationship"
"13","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1509","Echinodermata",NA,NA,"President and Fellows of Harvard College",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) atra","HOL-1509",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"1932-05-21",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"IZ",NA,"2013-01-04 15:23:48.0","Aspidochirotida","","en","","",NA,NA,NA,"off Northern Territory: Port Essington, Coral Bay","Pacific Ocean, Pacific, Western Central","May 21, 1932",NA,"",NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia",NA,NA,"","PhysicalObject",NA,0,NA,NA,NA,"",NA,"","",NA,NA,"Harvard Australian Expedition 1931-1932",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,"",NA,"MCZ","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d8719546-74a3-487f-b259-14b0e25903a2","atra",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1509","872733a2-67a3-4c54-aa76-862735a5f334",NA,1,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"d8719546-74a3-487f-b259-14b0e25903a2","MCZ:IZ:HOL-1509",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea","Holothuria (Halodeima) atra","","",NA,"Pacific Ocean",NA,"[no agent data]",NA,NA,NA,NA,"PreservedSpecimen",NA,"","2014-01-11T01:37:51.504Z",NA,NA,"Jaeger, 1833",NA,"",NA,NA,"0da220c27501f24700b207ea32acd994776e7e71","Holothuria",NA,NA
"44","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-549","Echinodermata",NA,NA,"President and Fellows of Harvard College",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) atra","HOL-549",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"whole animal (70% ethanol); whole animal (70% ethanol)",NA,"other number=653, 1650",NA,NA,"1859-01-01/1860-12-31",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"IZ",NA,"2014-04-17 11:40:02.0","Aspidochirotida","","en","JAR 2 - original labels are in jar 1","",NA,NA,NA,"United States, Hawaiian Islands","Pacific Ocean, Pacific, Eastern Central","1859 or 1860",NA,"",NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia",NA,NA,"","PhysicalObject",NA,0,NA,NA,NA,"",NA,"","",NA,NA,"Andrew Garrett, Flying Fish",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,"",NA,"MCZ","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3aa30b46-90cf-443b-b48d-5f0184c2055b","atra",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-549","872733a2-67a3-4c54-aa76-862735a5f334",NA,1,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"3aa30b46-90cf-443b-b48d-5f0184c2055b","MCZ:IZ:HOL-549",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea","Holothuria (Halodeima) atra","","",NA,"Pacific Ocean",NA,"[no agent data]",NA,NA,NA,NA,"PreservedSpecimen",NA,"","2014-07-12T15:37:11.502Z",NA,NA,"Jaeger, 1833",NA,"",NA,NA,"074d6d4dc44acdf1ff34e455f35d72204f4d2c0a","Holothuria",NA,NA
"48","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-555","Echinodermata",NA,NA,"President and Fellows of Harvard College",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) atra","HOL-555",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"1800-01-01/1800-12-31",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"IZ",NA,"2012-12-19 13:02:26.0","Aspidochirotida","","en","","",NA,NA,NA,"off Marshall Islands","Pacific Ocean, Pacific, Eastern Central","unknown",NA,"",NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia",NA,NA,"","PhysicalObject",NA,0,NA,NA,NA,"",NA,"","",NA,NA,"B G Wood",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,"",NA,"MCZ","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cfccde74-e05f-487a-9529-51d84400fb1c","atra",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-555","872733a2-67a3-4c54-aa76-862735a5f334",NA,1,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"cfccde74-e05f-487a-9529-51d84400fb1c","MCZ:IZ:HOL-555",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea","Holothuria (Halodeima) atra","","",NA,"Pacific Ocean",NA,"[no agent data]",NA,NA,NA,NA,"PreservedSpecimen",NA,"","2014-07-12T13:59:50.960Z",NA,NA,"Jaeger, 1833",NA,"",NA,NA,"c1e5e296bc5dafdde8b883f9cea0689ab77da2ea","Holothuria",NA,NA
"62","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-550","Echinodermata",NA,NA,"President and Fellows of Harvard College",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) atra","HOL-550",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"1874-04-01/1874-04-30",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"IZ",NA,"2014-06-04 10:59:19.0","Aspidochirotida","","en","","",NA,NA,NA,"United States, Hawaii","Pacific Ocean, Pacific, Eastern Central","April 1874",NA,"",NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia",NA,NA,"","PhysicalObject",NA,0,NA,NA,NA,"",NA,"","",NA,NA,"Dr. W. H. Jones",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,"",NA,"MCZ","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8d940682-34ff-46ff-8298-02b2f35976b1","atra",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-550","872733a2-67a3-4c54-aa76-862735a5f334",NA,1,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"8d940682-34ff-46ff-8298-02b2f35976b1","MCZ:IZ:HOL-550",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea","Holothuria (Halodeima) atra","","",NA,"Pacific Ocean",NA,"[no agent data]",NA,NA,NA,NA,"PreservedSpecimen",NA,"","2014-07-12T21:09:12.452Z",NA,NA,"Jaeger, 1833",NA,"",NA,NA,"82dd42dbc5380c1530e5bd1e1de0630cbf31f560","Holothuria",NA,NA
"73","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1508","Echinodermata",NA,NA,"President and Fellows of Harvard College",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) atra","HOL-1508",NA,NA,NA,NA,NA,NA,NA,NA,-15.34278,"WGS84","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"1933-01-01/1933-12-31",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"IZ",NA,"2014-04-04 14:51:24.0","Aspidochirotida","","en","","",NA,NA,NA,"Australia, Western Australia, Augustus Island","Indian Ocean, Indian Ocean, Eastern","1933",NA,"",NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia",NA,NA,"decimal degrees","PhysicalObject",NA,0,NA,NA,NA,"",14857,"","GEOLocate",NA,NA,"Beresford E. Bardwell",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,"124.53833d",NA,"Holothuriidae","GEOLocate",NA,"",NA,NA,NA,NA,NA,"",NA,"MCZ","ICZN",NA,NA,NA,NA,NA,NA,124.53833,NA,NA,NA,NA,"f13cb16a-1536-401b-a8a0-f35a2e713741","atra",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1508","872733a2-67a3-4c54-aa76-862735a5f334",NA,1,NA,"",NA,NA,NA,NA,NA,"-15.34278d",NA,NA,NA,NA,"f13cb16a-1536-401b-a8a0-f35a2e713741","MCZ:IZ:HOL-1508",NA,NA,"Jessica Anne Mullen",NA,NA,"",NA,"",NA,NA,NA,"",14857,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea","Holothuria (Halodeima) atra","","",NA,"Indian Ocean",NA,"[no agent data]",NA,NA,NA,NA,"PreservedSpecimen",NA,"unverified","2014-07-13T05:21:09.229Z",NA,NA,"Jaeger, 1833",NA,"",NA,NA,"3f79ac4da2b397b375c2fbdb0b6b14296bd55cfe","Holothuria",NA,NA
"307","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4050","Echinodermata",NA,NA,"President and Fellows of Harvard College",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) atra","HOL-4050",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"1963-07-04",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"IZ",NA,"2013-01-04 15:02:34.0","Aspidochirotida","","en","","",NA,NA,NA,"Guam, outside of Taraque","Pacific Ocean, Pacific, Western Central","1963-07-04",NA,"",NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia",NA,NA,"","PhysicalObject",NA,0,NA,NA,NA,"",NA,"","",NA,NA,"David F. Truett",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,"Holothuriidae","",NA,"",NA,NA,NA,NA,NA,"",NA,"MCZ","ICZN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1f550b6c-de58-450b-b47a-2081c18e45ad","atra",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4050","872733a2-67a3-4c54-aa76-862735a5f334",NA,1,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"1f550b6c-de58-450b-b47a-2081c18e45ad","MCZ:IZ:HOL-4050",NA,NA,"",NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea","Holothuria (Halodeima) atra","","",NA,"Pacific Ocean",NA,"Elisabeth Deichmann",NA,NA,NA,NA,"PreservedSpecimen",NA,"","2014-01-10T16:21:59.652Z",NA,NA,"Jaeger, 1833",NA,"",NA,NA,"97a640f43a11018c351c465150f3b2da1afd2343","Holothuria",NA,NA
"333","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-559","Echinodermata",NA,NA,"President and Fellows of Harvard College",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) atra","HOL-559",NA,NA,NA,NA,NA,NA,NA,NA,9.87541,"WGS84","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"",NA,NA,"1800-01-01/1899-12-31",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"","not applicable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"IZ",NA,"2014-06-09 15:21:53.0","Aspidochirotida","","en","","",NA,NA,NA,"Philippines, Bohol","Pacific Ocean, Pacific, Western Central","late 1800&#39;s",NA,"",NA,"b4640710-8e03-11d8-b956-b8a03c50a862","Animalia",NA,NA,"decimal degrees","PhysicalObject",NA,0,NA,NA,NA,"",46433,"","Google Earth",NA,NA,"Carl Semper",NA,NA,"",NA,"Museum of Comparative Zoology, Harvard University",NA,"124.43293d",NA,"Holothuriidae","Google Earth",NA,"",NA,NA,NA,NA,NA,"",NA,"MCZ","ICZN",NA,NA,NA,NA,NA,NA,124.43293,NA,NA,NA,NA,"76069027-31c0-498d-9241-0b7651fdeb6b","atra",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-559","872733a2-67a3-4c54-aa76-862735a5f334",NA,1,NA,"",NA,NA,NA,NA,NA,"9.87541d",NA,NA,NA,NA,"76069027-31c0-498d-9241-0b7651fdeb6b","MCZ:IZ:HOL-559",NA,NA,"Penny Benson",NA,NA,"",NA,"",NA,NA,NA,"",46433,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"Holothuroidea","Holothuria (Halodeima) atra","","",NA,"Pacific Ocean",NA,"[no agent data]",NA,NA,NA,NA,"PreservedSpecimen",NA,"unverified","2014-07-12T14:45:47.287Z",NA,NA,"Jaeger, 1833",NA,"",NA,NA,"27de7808c29dc23e8cd791fb91311ae6bcbc7d67","Holothuria",NA,NA
