"606",NA,NA,"",NA,NA,"Tanzania, Tanganyika Territory, Dar es Salaam","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-12T19:31:47.152Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Indian Ocean, Indian Ocean, Western","1948-12-11",NA,NA,"(Brandt, 1835)",NA,NA,NA,"4ce1b6d6af5a29d2a2317f59740e6388e81116fe",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"a298ec16-70e3-43f9-9513-11d62111d9b4","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4083",NA,NA,NA,NA,"",NA,"Arthur Loveridge, MCZ Expeditions",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"2014-05-02 14:02:28.0",NA,"[no agent data]","Indian Ocean","HOL-4083","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4083",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-4083",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"a298ec16-70e3-43f9-9513-11d62111d9b4",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","December 11, 1948","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"624",NA,NA,"",NA,NA,"Australia, Northern Territory, Cape Keith, Melville Island","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-12T22:51:41.199Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Western Central","1700-01-01/2014-05-19",NA,NA,"(Brandt, 1835)",NA,NA,NA,"56f3acc339010054fbcac38e81efe3123803af83",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"061a2030-4a0a-4833-b897-3351327b51f9","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2093",NA,NA,NA,NA,"",NA,"[no agent data]",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"2014-05-19 11:02:25.0",NA,"[no agent data]","Pacific Ocean","HOL-2093","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2093",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-2093",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"061a2030-4a0a-4833-b897-3351327b51f9",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","[date unknown]","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"655",NA,NA,"",NA,NA,"[no specific locality]","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-13T04:47:27.306Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","[no higher geography data], null","1700-01-01/2014-05-02",NA,NA,"(Brandt, 1835)",NA,NA,NA,"8036972ae81dfb087d998828adec4272bac51490",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"08f0969d-e641-4fa2-a1f3-612addb2fbbb","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4084",NA,NA,NA,NA,"",NA,"[no agent data]",NA,NA,NA,NA,NA,"other number=A.B.4",NA,NA,"",NA,NA,"",NA,"2014-06-10 16:59:13.0",NA,"[no agent data]","[no higher geography data]","HOL-4084","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4084",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-4084",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"08f0969d-e641-4fa2-a1f3-612addb2fbbb",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","[date unknown]","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"889",NA,NA,"",NA,NA,"Philippines: Port Galera, Mindoro","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-12T13:49:38.565Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Western Central","1912-01-01/1912-12-31",NA,NA,"(Brandt, 1835)",NA,NA,NA,"fd14552c38b863b7df6cd2c62873c8c72a69a6ca",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"3535d97c-b498-4868-927f-4d850e90089b","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1112",NA,NA,NA,NA,"",NA,"Dr. Lawrence E. Griffin, Philippine Marine Biological Station",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"2014-05-02 11:02:27.0",NA,"World Register of Marine Species, [no agent data]","Pacific Ocean","HOL-1112","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1112",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-1112",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"3535d97c-b498-4868-927f-4d850e90089b",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","1912","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"909",NA,NA,"",NA,NA,"Costa Rica, Cocos Island, Chatham Bay","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-26T00:40:17.891Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Eastern Central","1938-01-14",NA,NA,"(Brandt, 1835)",NA,NA,NA,"e111ef7037a38eb421f1407ec4f8d670cbaaf0b4",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"ac5be9e0-c3a6-45b0-a8fa-31e87f0843c8","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1916",NA,NA,NA,NA,"",NA,"Hancock Pacific Expeditions, RV Velero III",NA,NA,NA,NA,NA,"station number=778-38",NA,NA,"",NA,NA,"",NA,"2014-07-18 14:25:46.0",NA,"[no agent data]","Pacific Ocean","HOL-1916","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1916",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-1916",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"ac5be9e0-c3a6-45b0-a8fa-31e87f0843c8",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","January 14, 1938","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"912",NA,NA,"",NA,NA,"Indonesia, Bay of Batavia","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-12T20:31:02.835Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Western Central","1700-01-01/2014-05-02",NA,NA,"(Brandt, 1835)",NA,NA,NA,"bbc1c01f754aa11aacb9358f36ef6570992fe8c4",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"59d71718-a44d-4197-959c-589065919de9","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1850",NA,NA,NA,NA,"",NA,"Carel Philip Sluiter",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"2014-05-02 14:02:27.0",NA,"[no agent data]","Pacific Ocean","HOL-1850","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1850",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-1850",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"59d71718-a44d-4197-959c-589065919de9",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","[date unknown]","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"914",NA,NA,"",NA,NA,"Australia, Queensland; Low Isles off Port Douglas","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-12T22:54:18.319Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Western Central","1928-01-01/1929-12-31",NA,NA,"(Brandt, 1835)",NA,NA,NA,"6e68de50c206e636a62328b5d2c334943880d834",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"6a109a03-60f8-4761-9c9a-67f4852a50e6","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-768",NA,NA,NA,NA,"",NA,"Great Barrier Reef Expedition - 1928-1929",NA,NA,NA,NA,NA,"station number=J.593",NA,NA,"",NA,NA,"",NA,"2014-05-13 10:40:16.0",NA,"[no agent data]","Pacific Ocean","HOL-768","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-768",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-768",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"6a109a03-60f8-4761-9c9a-67f4852a50e6",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","1928-1929","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"926",NA,NA,"",NA,NA,"Fiji Islands, Viti Levu, Suva","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-13T05:04:42.064Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Southwest","1897-01-01/1897-12-31",NA,NA,"(Brandt, 1835)",NA,NA,NA,"65b41617ca59c83e604ca3f8086a6e5f2566a61e",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"0bedc860-4286-4fa0-87fb-ec599225627e","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-726",NA,NA,NA,NA,"",NA,"Alexander Agassiz",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"2014-04-28 12:02:26.0",NA,"[no agent data]","Pacific Ocean","HOL-726","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-726",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-726",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"0bedc860-4286-4fa0-87fb-ec599225627e",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","1897","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"1197",NA,NA,"",NA,NA,"Philippines: Port Galera, Mindoro","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-13T01:52:34.387Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Western Central","1912-01-01/1912-12-31",NA,NA,"(Brandt, 1835)",NA,NA,NA,"af6c80b1247328ac615524970640a6c9d08772b8",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"fe230d2f-f45d-477c-bc27-2b87d659f5af","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1113",NA,NA,NA,NA,"",NA,"Dr. Lawrence E. Griffin, Philippine Marine Biological Station",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"2014-05-02 11:02:27.0",NA,"World Register of Marine Species, [no agent data]","Pacific Ocean","HOL-1113","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1113",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-1113",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"fe230d2f-f45d-477c-bc27-2b87d659f5af",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","1912","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"1203",NA,NA,"",NA,NA,"Philippines, Bohol","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-12T17:39:22.397Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Western Central","1800-01-01/1899-12-31",NA,NA,"(Brandt, 1835)",NA,NA,NA,"29500bd4394ae5b58a600097dc9a22a4dcf8e4da",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"13efa241-c52a-4e93-9ab4-971094bf645c","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-728",NA,NA,NA,NA,"unverified",NA,"Carl Semper",NA,NA,NA,NA,NA,"",NA,46433,"",NA,NA,"",NA,"2014-06-09 15:21:53.0",NA,"[no agent data]","Pacific Ocean","HOL-728","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-728",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-728",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"Google Earth",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"13efa241-c52a-4e93-9ab4-971094bf645c",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","Google Earth","",NA,"124.43293d","WGS84",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"9.87541d","late 1800&#39;s","",124.43293,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",9.87541,NA,46433,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Penny Benson",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","decimal degrees",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"1224",NA,NA,"",NA,NA,"Tanzania [Zanzibar]","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-13T04:41:38.961Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Western Indian Ocean","1860-01-01/1865-12-31",NA,NA,"(Brandt, 1835)",NA,NA,NA,"2569cb8f015ecea7621edb0e662c22299b931058",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"2ad221b4-8ecf-41e9-8140-fd55f13d1f1a","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-730",NA,NA,NA,NA,"",NA,"Caleb Cooke",NA,NA,NA,NA,NA,"other number=41",NA,NA,"",NA,NA,"Syntype",NA,"2014-07-02 08:28:00.0",NA,"World Register of Marine Species, E. Selenka","Western Indian Ocean","HOL-730","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-730",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-730",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"2ad221b4-8ecf-41e9-8140-fd55f13d1f1a",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","Unknown","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
"1235",NA,NA,"",NA,NA,"Ecuador: Galapagos Islands","","",NA,"Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,"2014-07-12T20:16:16.176Z",NA,NA,"Animalia",NA,NA,NA,1,"",NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,"ICZN","Pacific Ocean, Pacific, Eastern Central","1898-01-01/1898-12-31",NA,NA,"(Brandt, 1835)",NA,NA,NA,"57255f4362aa110957f9e95ec8cd76a09daee88e",NA,"IZ",NA,NA,NA,NA,NA,NA,"",NA,NA,"8bbb6b70-d711-49b4-8ded-bf80f060188f","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-603",NA,NA,NA,NA,"",NA,"Hubert Lyman Clark, Hopkins-Stanford Galapagos Expedition 1898-99",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,"2014-04-28 12:02:26.0",NA,"[no agent data]","Pacific Ocean","HOL-603","Holothuroidea",NA,NA,NA,"","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-603",NA,NA,NA,NA,"",NA,NA,"MCZ:IZ:HOL-603",NA,"","whole animal (70% ethanol)",NA,NA,NA,NA,"MCZ",NA,NA,NA,"leucospilota",NA,NA,NA,NA,NA,"not applicable",NA,NA,"",NA,NA,NA,"President and Fellows of Harvard College","en","","","Echinodermata","",NA,NA,"8bbb6b70-d711-49b4-8ded-bf80f060188f",0,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334","","","",NA,"","",NA,NA,"Aspidochirotida",NA,NA,NA,"",NA,"","1898","",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,"Holothuriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"PhysicalObject",NA,"Museum of Comparative Zoology, Harvard University","",NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Mertensiothuria) leucospilota","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA
