"","fcc.superfamily","dwc.associatedOccurrences","idigbio.subgenus","fcc.pickedBy","inhs.location_Stream","dwc.behavior","dwc.latestAgeOrHighestStage","dwc.maximumDepthInMeters","idigbio.associateRelationship","idigbio.associateCondition","dwc.eventTime","dwc.fieldNumber","dwc.kingdom","dwc.eventDate","idigbio.associateIdentifier","symbiotaverbatimScientificName","dwc.specificEpithet","id","dwc.identifiedBy","dwc.continent","idigbio.dateModified","dwc.VerbatimEventDate","dwc.country","dwc.day","dwc.county","idigbio.preservative","dwc.verbatimLongitude","dwc.rightsHolder","dwc.catalogNumber","inhs.juv_undetermined","idigbio.endangeredStatus","dwc.reproductiveCondition","idigbio.determinationHistory","dwc.bed","dcterms.references","dwc.individualCount","http...symbiota.org.terms.verbatimScientificName","inhs.juv_females","dwc.georeferenceSources","idigbio.associateDeterminedBy","dwc.associatedReferences","inhs.locationTrs","idigbio.preparationCount","dwc.decimalLatitude","dwc.establishmentMeans","dcterms.type","dwc.basisOfRecord","inhs.total_Males","inhs.live","dwc.formation","dwc.verbatimCoordinateSystem","dcterms.language","dcterms.rightsHolder","dwc.verbatimLocality","dwc.occurrenceID","dwc.identificationRemarks","dwc.latestEpochOrHighestSeries","dcterms.reference","inhs.vouchered","inhs.juv_males","dwc.typeStatus","dwc.dynamicProperties","dwc.phylum","dwc.vernacularName","inhs.superfamily","dwc.group","dwc.occurrenceRemarks","dwc.fieldNotes","dwc.lithostratigraphicTerms","dwc.dateIdentified","dwc.collectionID","dcterms.modified","dwc.island","dwc.maximumElevationInMeters","idigbio.recordID","dwc.locality","idigbio.tribe","dwc.nomenclaturalCode","idigbio.associateAuthor","dwc.recordNumber","inhs.instars_Female","dwc.geodeticDatum","dwc.namePublishedInID","dwc.eventRemarks","dwc.latestPeriodOrHighestSystem","dwc.locationRemarks","dwc.countryCode","idigbio.recordId","dwc.namePublishedIn","idigbio.associateNotes","inhs.formII_males","dwc.lowestBiostratigraphicZone","dwc.lifeStage","dwc.waterBody","dwc.decimalLongitude","dwc.verbatimElevation","inhs.relic","dwc.otherCatalogNumbers","dwc.minimumDepthInMeters","dwc.informationWithheld","dwc.disposition","inhs.dead","dwc.family","dwc.datasetID","dwc.sex","dwc.dataGeneralizations","dwc.verbatimDepth","dwc.taxonRank","dwc.earliestEraOrLowestErathem","idigbio.uuid","inhs.total_females","dwc.coordinateUncertaintyInMeters","dwc.year","dwc.verbatimSRS","dwc.georeferencedDate","dwc.individualID","dwc.samplingEffort","dwc.ownerInstitutionCode","dwc.datasetName","dwc.georeferenceProtocol","dwc.taxonRemarks","dwc.earliestPeriodOrLowestSystem","idigbio.version","symbiota.verbatimScientificName","dwc.earliestEpochOrLowestSeries","dwc.startDayOfYear","dwc.locationAccordingTo","dwc.higherGeography","dwc.scientificNameID","dwc.georeferenceRemarks","dwc.associatedTaxa","dcterms.accessRights","dwc.taxonID","row.number","dwc.subgenus","dwc.preparation","dwc.municipality","dwc.originalNameUsage","dwc.rights","dwc.latestEraOrHighestErathem","idigbio.recordIds","dwc.nameAccordingTo","dwc.verbatimEventDate","dwc.previousIdentifications","dwc.preparations","dwc.collectionCode","dwc.verbatimCoordinates","dwc.habitat","dwc.month","inhs.location_RiverMile","dwc.relatedResourceID","dwc.identificationReferences","dwc.recordedBy","dwc.accessRights","dwc.member","dcterms.rights","dwc.minimumElevationInMeters","idigbio.subfamily","dwc.georeferencedBy","dwc.scientificName","fcc.datePicked","inhs.formII_females","inhs.instars_Male","dwc.identificationQualifier","idigbio.barcodeValue","dwc.genus","idigbio.etag","dwc.institutionCode","idigbio.hostFamily","inhs.formI_males","dwc.infraspecificEpithet","dcterms.source","inhs.location_Basin","dwc.samplingProtocol","dwc.institutionID","idigbio.associateCommonName","dwc.eventID","dwc.coordinatePrecision","dwc.associatedSequences","dwc.occurrenceStatus","dwc.identificationVerificationStatus","idigbio.substrate","dwc.order","dwc.endDayOfYear","dwc.identificationID","dwc.scientificNameAuthorship","dwc.verbatimTaxonRank","dcterms.bibliographicCitation","dwc.locationID","dwc.verbatimLatitude","dwc.class","dwc.stateProvince","dwc.georeferenceVerificationStatus","dwc.islandGroup","idigbio.createdBy","dwc.nomenclaturalStatus","dwc.associatedMedia","dwc.earliestAgeOrLowestStage","idigbio.associatedRelationship","dwc.higherClassification","fcc.subfamily","dwc.footprintWKT","idigbio.associatedFamily"
"40",NA,"from same lot as          <a href=""http://arctos.database.museum/SpecimenDetail.cfm?collection_object_id=3242844""> MCZ IZ HOL-762</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Animalia","1700-01-01/1867-12-31",NA,NA,"difficilis","3e0fd939-52a1-4678-8c06-d49b84aa30d8","World Register of Marine Species, Carl Semper","Pacific Ocean","2014-07-12T23:54:27.394Z",NA,"",NA,"",NA,"",NA,"HOL-1396",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1396",1,NA,NA,"",NA,"",NA,NA,NA,NA,"PhysicalObject","PreservedSpecimen",NA,NA,NA,"","en","President and Fellows of Harvard College",NA,"MCZ:IZ:HOL-1396","per Francois Michonneau (Dec 7, 2010) ""This is not H. difficilis (most likely).  Presumably H. hilla - took tissue sample for ossicle confirmation""",NA,NA,NA,NA,"Syntype","","Echinodermata",NA,NA,NA,NA,NA,NA,"",NA,"2013-11-06 15:54:59.0",NA,NA,NA,"United States, Hawaii",NA,"ICZN",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"other number=50",NA,NA,"not applicable",NA,"Holothuriidae",NA,"",NA,"",NA,NA,"3e0fd939-52a1-4678-8c06-d49b84aa30d8",NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,NA,NA,0,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,"whole animal (70% ethanol)","IZ","","",NA,NA,NA,NA,"James M. Barnard",NA,NA,NA,NA,NA,"","Holothuria (Platyperona) difficilis",NA,NA,NA,NA,NA,"Holothuria","015d317840e8b9d81fc14f2506e295c79dc00422","MCZ",NA,NA,"",NA,NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"Semper, 1868",NA,NA,"","","Holothuroidea","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1396",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) difficilis",NA,NA,NA
"45",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Animalia","1800-01-01/2100-01-01",NA,NA,"difficilis","7349b6a3-7523-4348-87c7-1636630aa4cd","[no agent data]","Pacific Ocean","2014-07-13T00:43:20.724Z",NA,"",NA,"",NA,"",NA,"HOL-1773",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1773",1,NA,NA,"",NA,"",NA,NA,NA,NA,"PhysicalObject","PreservedSpecimen",NA,NA,NA,"","en","President and Fellows of Harvard College",NA,"MCZ:IZ:HOL-1773","native Samoan name ""Taetiale""",NA,NA,NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,"",NA,"2013-03-25 11:02:27.0",NA,NA,NA,"Samoa",NA,"ICZN",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"not applicable",NA,"Holothuriidae",NA,"",NA,"",NA,NA,"7349b6a3-7523-4348-87c7-1636630aa4cd",NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,NA,NA,0,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,"whole animal (70% ethanol)","IZ","","",NA,NA,NA,NA,"[no agent data]",NA,NA,NA,NA,NA,"","Holothuria (Platyperona) difficilis",NA,NA,NA,NA,NA,"Holothuria","cdc576181add4a39626b9b9ca2809fa3d0e0e012","MCZ",NA,NA,"",NA,NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"Semper, 1868",NA,NA,"","","Holothuroidea","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1773",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) difficilis",NA,NA,NA
"66",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Animalia","1932-04-01/1932-04-30",NA,NA,"difficilis","271a4158-0a48-47a0-9e4b-98ad03286355","Hubert Lyman Clark","Pacific Ocean","2014-07-12T15:24:22.031Z",NA,"",NA,"",NA,"159.083d",NA,"HOL-1511",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1511",1,NA,NA,"GEOLocate",NA,"",NA,NA,-31.516,NA,"PhysicalObject","PreservedSpecimen",NA,NA,NA,"decimal degrees","en","President and Fellows of Harvard College",NA,"MCZ:IZ:HOL-1511","",NA,NA,NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,"",NA,"2014-06-18 15:10:33.0",NA,NA,NA,"Australia, off New South Wales, Lord Howe Island; Ned&#39;s Beach",NA,"ICZN",NA,"",NA,"WGS84",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",159.083,NA,NA,"",NA,NA,"not applicable",NA,"Holothuriidae",NA,"",NA,"",NA,NA,"271a4158-0a48-47a0-9e4b-98ad03286355",NA,1074,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"GEOLocate",NA,NA,NA,NA,NA,0,NA,"Pacific Ocean, Pacific, Southwest",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"April 1932",NA,"whole animal (70% ethanol)","IZ","","",NA,NA,NA,NA,"Harvard Australia Expedition 1931-1932",NA,NA,NA,NA,NA,"Penny Benson","Holothuria (Platyperona) difficilis",NA,NA,NA,NA,NA,"Holothuria","eb8b03802e8aa6bb989d30322ff2ba557ee63ef8","MCZ",NA,NA,"",NA,NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,1074,NA,NA,"unverified",NA,"Aspidochirotida",NA,NA,"Semper, 1868",NA,NA,"","-31.516d","Holothuroidea","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1511",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) difficilis",NA,NA,NA
"105",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Animalia","1934-12-12",NA,NA,"difficilis","1d35a70e-cbb0-42a3-838e-3265f643e7c1","[no agent data], Elisabeth Deichmann","Pacific Ocean","2014-09-10T02:21:21.241Z",NA,"",NA,"",NA,"",NA,"128113",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128113",1,NA,NA,"",NA,"",NA,NA,NA,NA,"PhysicalObject","PreservedSpecimen",NA,NA,NA,"","en","President and Fellows of Harvard College",NA,"MCZ:IZ:128113","",NA,NA,NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,"",NA,"2014-07-02 13:14:56.0",NA,NA,NA,"Ecuador: Galapagos Islands, James Island; Sulivan Bay",NA,"ICZN",NA,"465-22",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"collector number=465-22; original ledger number=2097 G; station number=343-35",NA,NA,"not applicable",NA,"Holothuriidae",NA,"",NA,"",NA,NA,"1d35a70e-cbb0-42a3-838e-3265f643e7c1",NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,NA,NA,0,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"December 12, 1934",NA,"whole animal (70% ethanol)","IZ","","",NA,NA,NA,NA,"RV Velero III, Hancock Pacific Expeditions",NA,NA,NA,NA,NA,"","Holothuria (Platyperona) difficilis",NA,NA,NA,NA,NA,"Holothuria","a40b84f6f61a874b25aaad41c911123ec4811a93","MCZ",NA,NA,"",NA,NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"Semper, 1868",NA,NA,"","","Holothuroidea","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128113",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) difficilis",NA,NA,NA
"300",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Animalia","1905-02-03",NA,NA,"difficilis","19929ae7-e8f4-40a9-88e6-7e56c47757f4","[no agent data]","Pacific Ocean","2014-01-11T23:45:55.916Z",NA,"",NA,"",NA,"",NA,"HOL-1327",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1327",1,NA,NA,"",NA,"",NA,NA,NA,NA,"PhysicalObject","PreservedSpecimen",NA,NA,NA,"","en","President and Fellows of Harvard College",NA,"MCZ:IZ:HOL-1327","",NA,NA,NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,"",NA,"2013-03-25 10:02:28.0",NA,NA,NA,"Tuamotu Islands, Paumotus, Manga Reva",NA,"ICZN",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"not applicable",NA,"Holothuriidae",NA,"",NA,"",NA,NA,"19929ae7-e8f4-40a9-88e6-7e56c47757f4",NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,NA,NA,0,NA,"Pacific Ocean, Pacific, Eastern Central",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"February 3, 1905",NA,"whole animal (70% ethanol)","IZ","","",NA,NA,NA,NA,"USFC Steamer Albatross",NA,NA,NA,NA,NA,"","Holothuria (Platyperona) difficilis",NA,NA,NA,NA,NA,"Holothuria","ac7f20ab28b054408b87176f33a085e6eafc651c","MCZ",NA,NA,"",NA,NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"Semper, 1868",NA,NA,"","","Holothuroidea","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1327",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) difficilis",NA,NA,NA
"308",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Animalia","1913-09-24",NA,NA,"difficilis","273d9071-c37d-492f-8e5c-57883570626f","Hubert Lyman Clark, Hubert Lyman Clark","Pacific Ocean","2014-06-18T06:26:08.497Z",NA,"",NA,"",NA,"",NA,"HOL-1090",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1090",1,NA,NA,"",NA,"",NA,NA,NA,NA,"PhysicalObject","PreservedSpecimen",NA,NA,NA,"","en","President and Fellows of Harvard College",NA,"MCZ:IZ:HOL-1090","",NA,NA,NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,"",NA,"2014-06-09 15:15:22.0",NA,NA,NA,"Australia, Queensland, Torres Strait, Murray Island (Mer)",NA,"ICZN",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,"not applicable",NA,"Holothuriidae",NA,"",NA,"",NA,NA,"273d9071-c37d-492f-8e5c-57883570626f",NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,NA,NA,0,NA,"Pacific Ocean, Pacific, Western Central",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"September 24, 1913",NA,"whole animal (70% ethanol)","IZ","","",NA,NA,NA,NA,"Hubert Lyman Clark, Carnegie Expedition to the Torres Strait",NA,NA,NA,NA,NA,"","Holothuria (Platyperona) difficilis",NA,NA,NA,NA,NA,"Holothuria","11d62df3a4abf8e1706310be645df02a977ff74e","MCZ",NA,NA,"",NA,NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"Semper, 1868",NA,NA,"","","Holothuroidea","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1090",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) difficilis",NA,NA,NA
"316",NA,"",NA,NA,NA,NA,NA,1.8288,NA,NA,NA,"","Animalia","1960-08-18",NA,NA,"difficilis","f838f86c-4271-4f02-8a55-4fefdfc6985b","Elisabeth Deichmann, [no agent data]","Indian Ocean","2014-01-11T17:23:01.565Z",NA,"",NA,"",NA,"",NA,"HOL-3034",NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-3034",1,NA,NA,"",NA,"",NA,NA,NA,NA,"PhysicalObject","PreservedSpecimen",NA,NA,NA,"","en","President and Fellows of Harvard College",NA,"MCZ:IZ:HOL-3034","found with Urodemas ehrenbergi",NA,NA,NA,NA,"","","Echinodermata",NA,NA,NA,NA,NA,NA,"",NA,"2013-03-25 15:18:37.0",NA,NA,NA,"Pte. Ambarionaomby, Nossi Komba, near Nossi Be Madagascar",NA,"ICZN",NA,"532",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"collector number=532",1.8288,NA,"not applicable",NA,"Holothuriidae",NA,"",NA,"",NA,NA,"f838f86c-4271-4f02-8a55-4fefdfc6985b",NA,NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,"",NA,NA,NA,NA,NA,0,NA,"Indian Ocean, Indian Ocean, Western",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"August 18 1960",NA,"whole animal (70% ethanol)","IZ","","",NA,NA,NA,NA,"Arthur G. Humes",NA,NA,NA,NA,NA,"","Holothuria (Platyperona) difficilis",NA,NA,NA,NA,NA,"Holothuria","aed47a236aaffc90be9afc9f38ae203780893674","MCZ",NA,NA,"",NA,NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,NA,"",NA,"Aspidochirotida",NA,NA,"Semper, 1868",NA,NA,"","","Holothuroidea","",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-3034",NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Platyperona) difficilis",NA,NA,NA
