"","dwc.continent","dwc.month","idigbio.recordIds","dwc.member","dwc.nomenclaturalStatus","dwc.datasetName","dwc.georeferenceProtocol","dwc.phylum","dwc.locationAccordingTo","dwc.scientificNameAuthorship","idigbio.associateIdentifier","dwc.identificationQualifier","idigbio.version","idigbio.associateAuthor","dwc.identifiedBy","fcc.superfamily","dwc.verbatimCoordinates","inhs.vouchered","dwc.occurrenceID","dwc.verbatimElevation","dwc.earliestEpochOrLowestSeries","dwc.georeferenceRemarks","inhs.location_RiverMile","inhs.dead","dwc.informationWithheld","row.number","dwc.verbatimTaxonRank","dwc.class","dcterms.type","dwc.lithostratigraphicTerms","dwc.geodeticDatum","inhs.juv_undetermined","inhs.locationTrs","inhs.formI_males","dwc.verbatimLocality","dwc.lowestBiostratigraphicZone","dwc.samplingEffort","dwc.specificEpithet","idigbio.recordID","idigbio.associateDeterminedBy","dwc.preparation","idigbio.dateModified","dwc.previousIdentifications","dwc.fieldNotes","idigbio.recordId","dwc.lifeStage","id","dwc.decimalLatitude","dwc.georeferenceVerificationStatus","idigbio.associateCommonName","dwc.subgenus","inhs.juv_females","dwc.georeferencedBy","dcterms.source","dwc.latestPeriodOrHighestSystem","inhs.total_females","dwc.rightsHolder","idigbio.tribe","dwc.verbatimLatitude","dwc.decimalLongitude","dwc.vernacularName","dwc.georeferenceSources","dwc.eventTime","idigbio.hostFamily","symbiota.verbatimScientificName","dwc.earliestEraOrLowestErathem","dwc.associatedReferences","inhs.live","inhs.formII_females","dwc.island","dwc.behavior","dwc.nameAccordingTo","dwc.group","inhs.instars_Female","dcterms.language","dwc.disposition","dwc.locality","dwc.locationID","dwc.maximumDepthInMeters","dwc.dynamicProperties","dwc.namePublishedInID","dwc.individualCount","dwc.locationRemarks","dwc.occurrenceStatus","dwc.basisOfRecord","dwc.order","dwc.higherGeography","idigbio.substrate","dwc.minimumElevationInMeters","dwc.VerbatimEventDate","dwc.verbatimCoordinateSystem","dwc.identificationVerificationStatus","dwc.otherCatalogNumbers","dwc.latestEraOrHighestErathem","inhs.relic","dwc.institutionCode","dwc.samplingProtocol","dwc.latestEpochOrHighestSeries","dwc.coordinatePrecision","dwc.recordedBy","dwc.collectionCode","dwc.institutionID","dwc.infraspecificEpithet","dwc.scientificNameID","fcc.datePicked","http...symbiota.org.terms.verbatimScientificName","idigbio.etag","idigbio.barcodeValue","idigbio.subfamily","dwc.kingdom","dwc.verbatimLongitude","idigbio.preservative","dwc.eventDate","idigbio.associatedFamily","dwc.establishmentMeans","dwc.associatedMedia","dwc.sex","dcterms.accessRights","dwc.verbatimSRS","dcterms.rights","dwc.originalNameUsage","dwc.earliestPeriodOrLowestSystem","dwc.minimumDepthInMeters","dwc.relatedResourceID","idigbio.preparationCount","dcterms.references","dwc.dateIdentified","dwc.recordNumber","dwc.typeStatus","dwc.eventRemarks","dwc.identificationRemarks","dwc.habitat","dwc.formation","idigbio.associateCondition","dwc.namePublishedIn","dcterms.rightsHolder","dwc.county","inhs.location_Basin","dwc.scientificName","dwc.stateProvince","dwc.bed","dwc.earliestAgeOrLowestStage","dwc.family","idigbio.subgenus","dwc.eventID","dwc.genus","dwc.municipality","dwc.associatedOccurrences","dwc.rights","dwc.countryCode","dwc.associatedTaxa","dwc.day","inhs.formII_males","dcterms.modified","inhs.instars_Male","fcc.pickedBy","inhs.location_Stream","dwc.verbatimEventDate","dwc.fieldNumber","idigbio.determinationHistory","dwc.islandGroup","inhs.superfamily","inhs.juv_males","idigbio.associateNotes","dwc.taxonRank","idigbio.endangeredStatus","dwc.occurrenceRemarks","dwc.startDayOfYear","dwc.endDayOfYear","idigbio.associatedRelationship","dwc.accessRights","idigbio.uuid","dwc.maximumElevationInMeters","dwc.verbatimDepth","symbiotaverbatimScientificName","dwc.georeferencedDate","dwc.latestAgeOrHighestStage","dwc.preparations","dwc.year","dwc.coordinateUncertaintyInMeters","dwc.waterBody","dcterms.reference","dwc.reproductiveCondition","dwc.country","dwc.taxonID","idigbio.associateRelationship","fcc.subfamily","idigbio.createdBy","dwc.identificationID","dwc.footprintWKT","dwc.dataGeneralizations","inhs.total_Males","dwc.taxonRemarks","dwc.nomenclaturalCode","dcterms.bibliographicCitation","dwc.higherClassification","dwc.datasetID","dwc.individualID","dwc.associatedSequences","dwc.collectionID","dwc.catalogNumber","dwc.ownerInstitutionCode","dwc.identificationReferences"
"12","Pacific Ocean",NA,NA,NA,NA,NA,"","Echinodermata",NA,"Selenka, 1867",NA,NA,NA,NA,"[no agent data]",NA,"",NA,"MCZ:IZ:HOL-1057",NA,NA,"",NA,NA,NA,NA,NA,"Holothuroidea","PhysicalObject",NA,"",NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,NA,"2014-06-18T07:23:07.703Z",NA,NA,NA,NA,"8a377a7c-4c08-4192-a6df-41db42d99338",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"en","not applicable","Australia, Queensland, Torres Strait, Erub","",NA,"",NA,1,"",NA,"PreservedSpecimen","Aspidochirotida","Pacific Ocean, Pacific, Western Central",NA,NA,NA,"","","",NA,NA,"MCZ","",NA,NA,"Carnegie Expedition to the Torres Strait","IZ","b4640710-8e03-11d8-b956-b8a03c50a862","",NA,NA,NA,"c3790abe8a036071ec65b31c2f5b90ab914bede6",NA,NA,"Animalia","",NA,"1913-09-18",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1057","",NA,NA,NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1057","","","","","Original of Mr. Grosse's fig. 16","",NA,NA,NA,"President and Fellows of Harvard College","",NA,"Holothuria (Stauropora) pervicax","",NA,NA,"Holothuriidae",NA,NA,"Holothuria",NA,"",NA,NA,NA,NA,NA,"2014-06-04 12:02:26.0",NA,NA,NA,"September 18, 1913","",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"8a377a7c-4c08-4192-a6df-41db42d99338",NA,"",NA,NA,NA,"whole animal (70% ethanol)",NA,NA,"",NA,NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"ICZN",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Stauropora) pervicax",NA,NA,NA,NA,"HOL-1057","Museum of Comparative Zoology, Harvard University",NA
"29","Indian Ocean",NA,NA,NA,NA,NA,"GEOLocate","Echinodermata",NA,"Selenka, 1867",NA,NA,NA,NA,"[no agent data]",NA,"",NA,"MCZ:IZ:HOL-2086",NA,NA,"",NA,NA,NA,NA,NA,"Holothuroidea","PhysicalObject",NA,"WGS84",NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,NA,"2014-07-12T17:55:25.559Z",NA,NA,NA,NA,"0439cc06-b11d-4eff-aa28-cac90e5af53f",-6.786023,NA,NA,NA,NA,"Jessica Anne Mullen",NA,NA,NA,NA,NA,"-6.786023d",39.310455,NA,"GEOLocate",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"en","not applicable","Tanzania, Tanganyika Territory, Dar es Salaam","",NA,"",NA,1,"",NA,"PreservedSpecimen","Aspidochirotida","Indian Ocean, Indian Ocean, Western",NA,NA,NA,"decimal degrees","unverified","",NA,NA,"MCZ","",NA,4118,"Arthur Loveridge, MCZ Expeditions","IZ","b4640710-8e03-11d8-b956-b8a03c50a862","",NA,NA,NA,"365b8d078fa546dd89a3eba430aebc8090ba9e55",NA,NA,"Animalia","39.310455d",NA,"1948-12-07",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2086","",NA,NA,NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-2086","","","","","","",NA,NA,NA,"President and Fellows of Harvard College","",NA,"Holothuria (Stauropora) pervicax","",NA,NA,"Holothuriidae",NA,NA,"Holothuria",NA,"",NA,NA,NA,NA,NA,"2014-06-04 12:02:26.0",NA,NA,NA,"December 07, 1948","",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"0439cc06-b11d-4eff-aa28-cac90e5af53f",NA,"",NA,NA,NA,"whole animal (70% ethanol)",NA,4118,"",NA,NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"ICZN",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Stauropora) pervicax",NA,NA,NA,NA,"HOL-2086","Museum of Comparative Zoology, Harvard University",NA
"57","Pacific Ocean",NA,NA,NA,NA,NA,"","Echinodermata",NA,"Selenka, 1867",NA,NA,NA,NA,"World Register of Marine Species, E. Selenka",NA,"",NA,"MCZ:IZ:HOL-680",NA,NA,"",NA,NA,NA,NA,NA,"Holothuroidea","PhysicalObject",NA,"",NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,NA,"2014-07-12T19:44:12.570Z",NA,NA,NA,NA,"49b34951-809b-4236-80a6-e15505d23611",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"en","not applicable","off Hawaii","",NA,"",NA,1,"",NA,"PreservedSpecimen","Aspidochirotida","Pacific Ocean, Pacific, Eastern Central",NA,NA,NA,"","","collector number=122,387,575,644",NA,NA,"MCZ","",NA,NA,"James M. Barnard, Skylark","IZ","b4640710-8e03-11d8-b956-b8a03c50a862","",NA,NA,NA,"569f32d3bb072c254a06dc2328554f3fd36d6550",NA,NA,"Animalia","",NA,"1700-01-01/1867-12-31",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-680","",NA,NA,NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-680","","122,387,575,644","Syntype","","","",NA,NA,NA,"President and Fellows of Harvard College","",NA,"Holothuria (Stauropora) pervicax","",NA,NA,"Holothuriidae",NA,NA,"Holothuria",NA,"",NA,NA,NA,NA,NA,"2013-06-18 15:17:42.0",NA,NA,NA,"Unknown","",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"49b34951-809b-4236-80a6-e15505d23611",NA,"",NA,NA,NA,"whole animal (70% ethanol)",NA,NA,"",NA,NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"ICZN",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Stauropora) pervicax",NA,NA,NA,NA,"HOL-680","Museum of Comparative Zoology, Harvard University",NA
"76","Pacific Ocean",NA,NA,NA,NA,NA,"","Echinodermata",NA,"Selenka, 1867",NA,NA,NA,NA,"[no agent data]",NA,"",NA,"MCZ:IZ:HOL-880",NA,NA,"",NA,NA,NA,NA,NA,"Holothuroidea","PhysicalObject",NA,"",NA,NA,NA,NA,NA,NA,"pervicax",NA,NA,NA,"2014-07-12T18:36:47.201Z",NA,NA,NA,NA,"e016ab65-2393-4e9f-a19d-1d730ec5f028",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"en","not applicable","United States, Hawaii","",NA,"",NA,1,"",NA,"PreservedSpecimen","Aspidochirotida","Pacific Ocean, Pacific, Eastern Central",NA,NA,NA,"","","",NA,NA,"MCZ","",NA,NA,"Dr. W. H. Jones","IZ","b4640710-8e03-11d8-b956-b8a03c50a862","",NA,NA,NA,"0e1dd1965b8c3fd67121772fc1ffadf56ff6deab",NA,NA,"Animalia","",NA,"1874-04-01/1874-04-30",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-880","",NA,NA,NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-880","","","","","","",NA,NA,NA,"President and Fellows of Harvard College","",NA,"Holothuria (Stauropora) pervicax","",NA,NA,"Holothuriidae",NA,NA,"Holothuria",NA,"",NA,NA,NA,NA,NA,"2014-06-04 11:02:25.0",NA,NA,NA,"April 1874","",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"e016ab65-2393-4e9f-a19d-1d730ec5f028",NA,"",NA,NA,NA,"whole animal (70% ethanol)",NA,NA,"",NA,NA,"",NA,NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,NA,"ICZN",NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Stauropora) pervicax",NA,NA,NA,NA,"HOL-880","Museum of Comparative Zoology, Harvard University",NA
