"","idigbio.subgenus","dwc.nomenclaturalStatus","dwc.datasetID","inhs.relic","dwc.decimalLatitude","idigbio.tribe","dcterms.type","dwc.island","dwc.collectionID","dcterms.language","dwc.verbatimCoordinateSystem","dwc.kingdom","inhs.dead","dwc.endDayOfYear","dwc.fieldNumber","dwc.country","dwc.originalNameUsage","dwc.reproductiveCondition","dwc.verbatimTaxonRank","dwc.recordNumber","dcterms.rights","dwc.identificationReferences","dwc.latestPeriodOrHighestSystem","dwc.occurrenceRemarks","dwc.otherCatalogNumbers","dwc.individualID","inhs.instars_Female","dwc.earliestPeriodOrLowestSystem","dwc.georeferenceVerificationStatus","dwc.behavior","inhs.formII_males","fcc.subfamily","dwc.scientificNameAuthorship","dwc.typeStatus","inhs.total_Males","http...symbiota.org.terms.verbatimScientificName","idigbio.preservative","idigbio.recordIds","dwc.verbatimLongitude","dwc.taxonRank","dwc.namePublishedIn","inhs.location_Stream","dwc.infraspecificEpithet","dwc.geodeticDatum","dwc.georeferenceRemarks","dwc.VerbatimEventDate","idigbio.hostFamily","inhs.juv_males","dwc.month","dwc.continent","dwc.relatedResourceID","dwc.georeferenceSources","dwc.stateProvince","idigbio.determinationHistory","dwc.eventID","inhs.vouchered","dwc.individualCount","dwc.maximumDepthInMeters","dwc.identificationVerificationStatus","dwc.scientificName","dwc.earliestAgeOrLowestStage","dwc.dataGeneralizations","dwc.countryCode","dwc.class","idigbio.preparationCount","dwc.footprintWKT","dwc.occurrenceID","symbiotaverbatimScientificName","dwc.recordedBy","inhs.location_RiverMile","dwc.verbatimDepth","dwc.previousIdentifications","dwc.waterBody","inhs.instars_Male","dwc.order","symbiota.verbatimScientificName","dwc.preparation","dwc.occurrenceStatus","dwc.dynamicProperties","dwc.namePublishedInID","dwc.associatedMedia","dwc.phylum","dwc.subgenus","idigbio.associateAuthor","dwc.habitat","dcterms.references","dwc.vernacularName","dwc.dateIdentified","inhs.juv_undetermined","inhs.locationTrs","dwc.lowestBiostratigraphicZone","dwc.eventDate","dwc.sex","dwc.disposition","inhs.live","idigbio.etag","idigbio.associateCondition","dwc.nomenclaturalCode","fcc.datePicked","dwc.georeferenceProtocol","dwc.nameAccordingTo","dwc.day","idigbio.associatedFamily","dwc.locality","dwc.formation","dcterms.rightsHolder","dwc.informationWithheld","inhs.total_females","dcterms.accessRights","dwc.latestEraOrHighestErathem","dwc.basisOfRecord","dcterms.bibliographicCitation","idigbio.barcodeValue","dwc.associatedSequences","dwc.family","dwc.ownerInstitutionCode","idigbio.recordID","dwc.identificationQualifier","dwc.associatedTaxa","dwc.earliestEraOrLowestErathem","dwc.verbatimLatitude","idigbio.substrate","dwc.scientificNameID","idigbio.associatedRelationship","dwc.minimumElevationInMeters","dwc.identificationID","dwc.verbatimLocality","inhs.juv_females","dwc.identificationRemarks","inhs.formI_males","dwc.identifiedBy","dwc.taxonRemarks","dwc.datasetName","dwc.fieldNotes","inhs.location_Basin","dwc.maximumElevationInMeters","dwc.samplingEffort","dcterms.source","id","dwc.rights","dwc.higherClassification","idigbio.createdBy","dwc.lithostratigraphicTerms","dwc.eventTime","idigbio.associateDeterminedBy","dwc.samplingProtocol","idigbio.associateNotes","idigbio.dateModified","dwc.collectionCode","dwc.institutionID","idigbio.associateCommonName","dwc.startDayOfYear","dwc.decimalLongitude","dwc.islandGroup","dwc.verbatimCoordinates","dwc.coordinatePrecision","dwc.georeferencedBy","dwc.genus","dwc.verbatimElevation","dwc.higherGeography","dwc.locationID","dcterms.reference","fcc.superfamily","dwc.eventRemarks","idigbio.uuid","fcc.pickedBy","dwc.georeferencedDate","dwc.member","dwc.group","dwc.establishmentMeans","inhs.formII_females","dcterms.modified","idigbio.associateRelationship","idigbio.associateIdentifier","dwc.verbatimSRS","dwc.verbatimEventDate","dwc.institutionCode","dwc.locationRemarks","dwc.preparations","dwc.bed","row.number","dwc.latestEpochOrHighestSeries","dwc.accessRights","dwc.rightsHolder","idigbio.recordId","dwc.taxonID","dwc.year","inhs.superfamily","dwc.lifeStage","dwc.specificEpithet","dwc.latestAgeOrHighestStage","idigbio.subfamily","dwc.municipality","dwc.associatedReferences","dwc.minimumDepthInMeters","dwc.locationAccordingTo","dwc.catalogNumber","dwc.associatedOccurrences","dwc.county","dwc.earliestEpochOrLowestSeries","dwc.coordinateUncertaintyInMeters","idigbio.version","idigbio.endangeredStatus"
"142",NA,NA,NA,NA,-17.5,NA,"",NA,NA,"","","",NA,NA,"","French Polynesia",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,10,"",NA,"","Society Islands",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"31550748-539C-4C82-9BAB-DF43E1EAA5DA",NA,"Paulay, G.",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"9f7893538dc5cc855b8c0a5fd57bf371364cd865",NA,"",NA,"",NA,25,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"d9fd307b-c799-44c4-ba8b-f9f3a0707fb8",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T11:47:35.708Z","Invertebrate Zoology","",NA,NA,-149.8,NA,"",NA,"","Holothuria",NA,"","BMOO-033",NA,NA,"","d9fd307b-c799-44c4-ba8b-f9f3a0707fb8",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"462-Echinodermata","","Moorea Island",NA,NA,NA,NA
"158",NA,NA,NA,NA,19.3,NA,"",NA,NA,"","","",NA,NA,"","USA",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,3,"",NA,"","Wake Island",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"3A8E9DB7-BE4E-4C2B-A8F0-73A7805B36FE",NA,"Sun Kim",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"811778218462102107fc3bcb57d0a691a281a67b",NA,"",NA,"",NA,25,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"ee27623c-23db-4430-a3ba-5463a0fd0715",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T11:03:08.548Z","Invertebrate Zoology","",NA,NA,166.7,NA,"",NA,"","Holothuria",NA,"","Kim-WAK-St-10",NA,NA,"","ee27623c-23db-4430-a3ba-5463a0fd0715",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"11512-Echinodermata","","",NA,NA,NA,NA
"159",NA,NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,NA,"","USA",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,11,"",NA,"","Hawaiian Islands",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"069F7D2F-283F-4A92-A0BC-125C4DFA9850",NA,"Pittman, C.",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"4e197a723fa8c52e48134711380c06148c8cc5d1",NA,"",NA,"",NA,11,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"db1eeb29-fb2f-46f0-a691-0fe00d18cdf4",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T11:05:22.999Z","Invertebrate Zoology","",NA,NA,NA,NA,"",NA,"","Holothuria",NA,"","ZZZ-087854",NA,NA,"","db1eeb29-fb2f-46f0-a691-0fe00d18cdf4",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"1276-Echinodermata","","Maui Island",NA,NA,NA,NA
"160",NA,NA,NA,NA,-11.51576667,NA,"",NA,NA,"","","",NA,NA,"","France",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,5,"",NA,"","Scattered Islands",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"2D65D2F0-3D88-43CD-9178-49A3C8807A89",NA,"M. Guillaume, H. Bruggemann, M. Malay, V. Denis, A. Chauvin, D. Ringler, K. Coustaut",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"6a7b557d444b030b0ff9e88dd01f049c9ae35f16",NA,"",NA,"",NA,7,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"2d3b5bfa-4d51-4705-a7d9-b60c93698220",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T11:11:41.431Z","Invertebrate Zoology","",NA,NA,47.37331667,NA,"",NA,"","Holothuria",NA,"","GLOR-12",NA,NA,"","2d3b5bfa-4d51-4705-a7d9-b60c93698220",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"9334-Echinodermata","","Ile du Lys",NA,NA,NA,NA
"180",NA,NA,NA,NA,-18.9,NA,"",NA,NA,"","","",NA,NA,"","Cook Islands",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,10,"",NA,"","Cook Islands",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"39DBF940-F0CC-4B34-B176-6B32A97F1FA4",NA,"Paulay, G.",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"351893a18a5d76b92c2f5015d24d1bf599dd92b2",NA,"",NA,"",NA,18,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"e1cda894-0245-4452-a0b1-7e6447c799e1",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T10:25:10.644Z","Invertebrate Zoology","",NA,NA,-159.8,NA,"",NA,"","Holothuria",NA,"","HAIU-015-1",NA,NA,"","e1cda894-0245-4452-a0b1-7e6447c799e1",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,1986,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"1349-Echinodermata","","Aitutaki Island",NA,NA,NA,NA
"197",NA,NA,NA,NA,13.5,NA,"",NA,NA,"","","",NA,NA,"","USA",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,3,"",NA,"","Mariana Islands",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"731DC897-7807-4DD1-BBDA-B6515CAC1A5F",NA,"Kirkendale, L.",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"b5b7f51aa6db1419e067419d307f8dcafda3be4d",NA,"",NA,"",NA,9,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"7e61e23e-8397-4da1-91ab-8240f050a09a",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T12:13:30.238Z","Invertebrate Zoology","",NA,NA,144.8,NA,"",NA,"","Holothuria",NA,"","OROTE-14",NA,NA,"","7e61e23e-8397-4da1-91ab-8240f050a09a",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"213-Echinodermata","","Guam Island",NA,NA,NA,NA
"215",NA,NA,NA,NA,23.626,NA,"",NA,NA,"","","",NA,NA,"","Oman",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,1,"",NA,"","",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"2750D733-5AD0-471D-9BD3-458C2B4E4984",NA,"V. Bonito, M. Claereboudt, G. Paulay",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"f69b107156edb0dc02faca054f1bf2e22808c7e0",NA,"",NA,"",NA,26,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"1232d7df-e239-48dd-9133-6bb397cf1ac9",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T12:50:04.944Z","Invertebrate Zoology","",NA,NA,58.481,NA,"",NA,"","Holothuria",NA,"","GP-Loc-819",NA,NA,"","1232d7df-e239-48dd-9133-6bb397cf1ac9",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"4253-Echinodermata","","",NA,NA,NA,NA
"228",NA,NA,NA,NA,-8.93692,NA,"",NA,NA,"","","",NA,NA,"","French Polynesia",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,1,"",NA,"","Marquesas Islands",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"08210247-6D9E-44E4-AEA3-BF2F249C453C",NA,"Laurent Albegna",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"c7589a1eedae2786e4cd486c6b69142b2a7baf40",NA,"",NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"a72bfa19-11ce-478f-9fbd-a0bd51d805f5",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T17:31:55.804Z","Invertebrate Zoology","",NA,NA,-140.09083,NA,"",NA,"","Holothuria",NA,"","MQ-01",NA,NA,"","a72bfa19-11ce-478f-9fbd-a0bd51d805f5",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"14023-Echinodermata","","",NA,NA,NA,NA
"248",NA,NA,NA,NA,-22.01802,NA,"",NA,NA,"","","",NA,NA,"","French Polynesia",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,1,"",NA,"","Tuamotu Archipelago",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"949D9485-D43A-40E8-B67D-52A198A262AE",NA,"Jenna Moore",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"eb388fb9168fb92475ea7da12153fa7941d2bc48",NA,"",NA,"",NA,27,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"ffe4a0d0-6a3d-4df8-88f7-0c1bdc81b28a",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T17:56:54.766Z","Invertebrate Zoology","",NA,NA,-136.20067,NA,"",NA,"","Holothuria",NA,"","MAREST-1",NA,NA,"","ffe4a0d0-6a3d-4df8-88f7-0c1bdc81b28a",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"13190-Echinodermata","","",NA,NA,NA,NA
"259",NA,NA,NA,NA,-19.9858333333333,NA,"",NA,NA,"","","",NA,NA,"","Mauritius",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,"","Mascarene Islands",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"728DD5C8-59F4-4AFE-9E6E-5D9E8E790C0B",NA,"John Starmer",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"3cc03b2f34a35960ebd49b8a3188dd987153cdfb",NA,"",NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"95facd20-d6e1-45f4-aee1-57de27fa1054",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T18:06:28.348Z","Invertebrate Zoology","",NA,NA,57.6301666666667,NA,"",NA,"","Holothuria",NA,"","JAS-MAU-Loc-10",NA,NA,"","95facd20-d6e1-45f4-aee1-57de27fa1054",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"3278-Echinodermata","","Mauritius Island",NA,NA,NA,NA
"265",NA,NA,NA,NA,-25.066667,NA,"",NA,NA,"","","",NA,NA,"","Pitcairn Islands",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,7,"",NA,"","Pitcairn Islands",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"A603B044-030A-4E28-8A8E-0DF1D3483BE4",NA,"Starmer, J.",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"b0a02040c8f3836d1d5bd0f429feafaa056e9b71",NA,"",NA,"",NA,20,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"d6c1c0bf-2b39-4f32-8dd4-39c238333292",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T15:45:45.436Z","Invertebrate Zoology","",NA,NA,-130.083333,NA,"",NA,"","Holothuria",NA,"","JAS-PIT-177",NA,NA,"","d6c1c0bf-2b39-4f32-8dd4-39c238333292",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,1997,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"3276-Echinodermata","","Pitcairn Island",NA,NA,NA,NA
