"276",NA,NA,NA,NA,-8.93692,NA,"",NA,NA,"","","",NA,NA,"","French Polynesia",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,1,"",NA,"","Marquesas Islands",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"BAD3AC43-E24F-4471-AB92-B8DD7CE0326F",NA,"",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"1a2655c3be75007206ea85ea8e734a8a04844866",NA,"",NA,"",NA,7,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"26497855-acc4-4bcf-b6eb-916ec603916d",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T18:04:20.810Z","Invertebrate Zoology","",NA,NA,-140.09083,NA,"",NA,"","Holothuria",NA,"","MQ-01",NA,NA,"","26497855-acc4-4bcf-b6eb-916ec603916d",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"15737-Echinodermata","","",NA,NA,NA,NA
"292",NA,NA,NA,NA,-19.1,NA,"",NA,NA,"","","",NA,NA,"","Niue Island",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,5,"",NA,"","Niue Island",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"56B9CA15-2CDD-44A8-9495-5D0F1F9A1946",NA,"Paulay, G.",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"f448452f75bd5688d3fc74cb1bd34fec7beef92f",NA,"",NA,"",NA,26,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"040acaf2-8c08-47ed-8af2-c7b10df851f2",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T14:32:56.971Z","Invertebrate Zoology","",NA,NA,-169.9,NA,"",NA,"","Holothuria",NA,"","HNIUE-015",NA,NA,"","040acaf2-8c08-47ed-8af2-c7b10df851f2",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,1986,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"1411-Echinodermata","","Niue Island",NA,NA,NA,NA
"455",NA,NA,NA,NA,-20.9225,NA,"",NA,NA,"","","",NA,NA,"","France",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,8,"",NA,"","Mascarene Islands",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"088A58CF-D81B-4CAA-884F-95BEB331D429",NA,"Henrich Bruggemann, Nicolas Hubert, Francois Michonneau & Gustav Paulay",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"181649b7c2c5bc4b3b51a916c9794658e6e187d2",NA,"",NA,"",NA,7,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"42520752-2450-4411-aa19-5b07b084a0db",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T11:01:47.697Z","Invertebrate Zoology","",NA,NA,55.341389,NA,"",NA,"","Holothuria",NA,"","SWIO-5",NA,NA,"","42520752-2450-4411-aa19-5b07b084a0db",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"7415-Echinodermata","","Reunion Island",NA,NA,NA,NA
"476",NA,NA,NA,NA,8.6317,NA,"",NA,NA,"","","",NA,NA,"","Panama",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"C62174DF-D40C-4600-B077-FBA780663C16",NA,"I. C. Enochs",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"c19a0b3bb3bbbcc239526295f595bc416d778cb4",NA,"",NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"34f99d8e-e626-4d47-99d4-cadb2cf9c941",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T16:13:34.562Z","Invertebrate Zoology","",NA,NA,-79.0299,NA,"",NA,"","Holothuria",NA,"","Enochs-2008",NA,NA,"","34f99d8e-e626-4d47-99d4-cadb2cf9c941",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"9038-Echinodermata","","",NA,NA,NA,NA
"477",NA,NA,NA,NA,-11.51576667,NA,"",NA,NA,"","","",NA,NA,"","France",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,5,"",NA,"","Scattered Islands",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"6A06652F-9D14-404C-A2D4-8AEB75102451",NA,"M. Guillaume, H. Bruggemann, M. Malay, V. Denis, A. Chauvin, D. Ringler, K. Coustaut",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"12cdbbb05e409c50b31da3fbb0e9904fd1b50baa",NA,"",NA,"",NA,7,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"b8891ef0-2403-49ea-97ea-5db069501d7e",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T15:46:45.054Z","Invertebrate Zoology","",NA,NA,47.37331667,NA,"",NA,"","Holothuria",NA,"","GLOR-12",NA,NA,"","b8891ef0-2403-49ea-97ea-5db069501d7e",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"9339-Echinodermata","","Ile du Lys",NA,NA,NA,NA
"537",NA,NA,NA,NA,-17.597753,NA,"",NA,NA,"","","",NA,NA,"","French Polynesia",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,12,"",NA,"","Society Islands",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"9C926CD1-5A9E-47FA-8BCE-5930053C30E6",NA,"Sarah McPherson, Gustav Paulay, Seabird McKeon, Phillippe Bacchet, Jean Letournaux",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"5c5a566c0fda3f00ac002d4ebbde7f7c2ac658e8",NA,"",NA,"",NA,10,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"5a6a177a-87cd-49e0-b8e5-779ac3c491d1",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T15:27:43.095Z","Invertebrate Zoology","",NA,NA,-149.842083,NA,"",NA,"","Holothuria",NA,"","BIZ-276",NA,NA,"","5a6a177a-87cd-49e0-b8e5-779ac3c491d1",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"9880-Echinodermata","","Moorea Island",NA,NA,NA,NA
"548",NA,NA,NA,NA,-8.93695,NA,"",NA,NA,"","","",NA,NA,"","French Polynesia",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,11,"",NA,"","Marquesas Islands",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"E16749B4-AF39-44D6-A313-AB3A7E97F641",NA,"Nathaniel Evans, Serge Andrefouet, Francesca Benzoni, Jean-Louis Menou, Marco Olivirio, Claude Payri",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"7aec032740a172d0e5b4dce398af7e049dbd534c",NA,"",NA,"",NA,30,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"099c040f-e939-4b42-9339-69605c973095",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T16:10:42.272Z","Invertebrate Zoology","",NA,NA,-139.5556,NA,"",NA,"","Holothuria",NA,"","MQ020",NA,NA,"","099c040f-e939-4b42-9339-69605c973095",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"11237-Echinodermata","","Ua Huka",NA,NA,NA,NA
"668",NA,NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,NA,"","Micronesia",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,7,"",NA,"","Caroline Islands",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"26CDAA76-7C62-4FF9-9F62-AA48D5BD4CB9",NA,"Alex Kerr",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"8176f6b9dceaa6ab5006776ef80a33a13866b92f",NA,"",NA,"",NA,1,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"7c0e00e5-a6e5-43be-98be-bf851f3272fd",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T12:05:53.416Z","Invertebrate Zoology","",NA,NA,NA,NA,"",NA,"","Holothuria",NA,"","UGI-Station-411",NA,NA,"","7c0e00e5-a6e5-43be-98be-bf851f3272fd",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,1992,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"12361-Echinodermata","","Kosrae State",NA,NA,NA,NA
"719",NA,NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,NA,"","Northern Mariana Islands",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,7,"",NA,"","Mariana Islands",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"B09C350F-09AD-4A92-8EB7-F6552A6EB5DF",NA,"J. Doty",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"c9937ef0ebd39b653e0e753609edf66726429c2b",NA,"",NA,"",NA,10,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"a11deb0c-6118-46fc-bbf9-be1bc80a1992",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T11:29:22.707Z","Invertebrate Zoology","",NA,NA,NA,NA,"",NA,"","Holothuria",NA,"","UGI-Station-344",NA,NA,"","a11deb0c-6118-46fc-bbf9-be1bc80a1992",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,1975,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"12282-Echinodermata","","Maug Island",NA,NA,NA,NA
"816",NA,NA,NA,NA,-13.4806,NA,"",NA,NA,"","","",NA,NA,"","Madagascar",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,5,"",NA,"","",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"C75F456C-428B-4F5C-AD82-E408AF95817C",NA,"F. Michonneau, G. Paulay, T. Werner",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"ecf11dcec7d6e8ea00a8ac41cd14db8911e9706a",NA,"",NA,"",NA,14,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"91f7a43b-209d-403c-8e17-4f642e7708e3",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T17:52:37.242Z","Invertebrate Zoology","",NA,NA,48.2333,NA,"",NA,"","Holothuria",NA,"","MGNW-19",NA,NA,"","91f7a43b-209d-403c-8e17-4f642e7708e3",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"7467-Echinodermata","","",NA,NA,NA,NA
"866",NA,NA,NA,NA,5.36916,NA,"",NA,NA,"","","",NA,NA,"","Federated States of Micronesia",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,3,"",NA,"","Caroline Islands",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"E58E1B15-7318-41D2-8A39-BE58F5B7B034",NA,"François Michonneau, Alexander M. Kerr, Sun Kim",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"7fe8da038188b6f67e2c3e24fed57405e1b98305",NA,"",NA,"",NA,4,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"7ff7ff1a-c30e-445d-9de7-ae61514a5448",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T16:16:22.336Z","Invertebrate Zoology","",NA,NA,163.01382,NA,"",NA,"","Holothuria",NA,"","KOSR-17",NA,NA,"","7ff7ff1a-c30e-445d-9de7-ae61514a5448",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"6812-Echinodermata","","Kosrae Island",NA,NA,NA,NA
"972",NA,NA,NA,NA,23.626,NA,"",NA,NA,"","","",NA,NA,"","Oman",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,1,"",NA,"","",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"D3FC7CC4-9C52-4D29-AE95-A516F7A78FB2",NA,"V. Bonito, M. Claereboudt, G. Paulay",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"8754f0baafd67075da8b5e80ca7681099676872a",NA,"",NA,"",NA,26,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"9d2198ec-ff40-4b8a-8499-a6f1a88bd52f",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T11:05:23.030Z","Invertebrate Zoology","",NA,NA,58.481,NA,"",NA,"","Holothuria",NA,"","GP-Loc-819",NA,NA,"","9d2198ec-ff40-4b8a-8499-a6f1a88bd52f",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"4261-Echinodermata","","",NA,NA,NA,NA
"978",NA,NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,NA,"","Marshall Islands",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,12,"",NA,"","",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"539D00E9-2AB4-4DF0-A71E-E3ADF4583DD2",NA,"R. H. Randall",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"1bed93e49c00e1d3165d5a315d49f1301df525a6",NA,"",NA,"",NA,6,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"a6af0f9d-925c-4151-9ac5-e7377bb217db",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T11:17:32.527Z","Invertebrate Zoology","",NA,NA,NA,NA,"",NA,"","Holothuria",NA,"","UGI-Station-33",NA,NA,"","a6af0f9d-925c-4151-9ac5-e7377bb217db",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,1976,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"12285-Echinodermata","","",NA,NA,NA,NA
"1011",NA,NA,NA,NA,19.3,NA,"",NA,NA,"","","",NA,NA,"","USA",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,3,"",NA,"","Wake Island",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"646D0ED9-4065-495F-B23C-4022BD238C07",NA,"Sun Kim",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"9355d3866d8d15849e5a0c3ea7a87043ca45a4d4",NA,"",NA,"",NA,25,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"a1138dc2-2d5b-497f-b2f7-268dcad89b8b",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T09:29:07.376Z","Invertebrate Zoology","",NA,NA,166.7,NA,"",NA,"","Holothuria",NA,"","Kim-WAK-St-10",NA,NA,"","a1138dc2-2d5b-497f-b2f7-268dcad89b8b",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"11522-Echinodermata","","",NA,NA,NA,NA
"1073",NA,NA,NA,NA,NA,NA,"",NA,NA,"","","",NA,NA,"","Ecuador",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,4,"",NA,"","Galapagos Islands",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"A5DEA2AE-709B-4A50-A6DA-140309E7C0AB",NA,"Cleveland P. Hickman, Jr.",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"545adb55cf16c6b53832344480f990ee40c96290",NA,"",NA,"",NA,29,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"877c6326-1d5d-46df-866e-fef8c42cd851",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T17:12:50.628Z","Invertebrate Zoology","",NA,NA,NA,NA,"",NA,"","Holothuria",NA,"","Hickman-018",NA,NA,"","877c6326-1d5d-46df-866e-fef8c42cd851",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,1996,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"9649-Echinodermata","","",NA,NA,NA,NA
"1078",NA,NA,NA,NA,-0.504066666666667,NA,"",NA,NA,"","","",NA,NA,"","Nauru",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Semper","",NA,NA,NA,NA,"",NA,NA,NA,"","","",NA,NA,NA,7,"",NA,"","Nauru",NA,NA,NA,NA,NA,"","Holothuria difficilis",NA,NA,NA,"Holothuroidea",NA,NA,"C853D0A0-00A7-432A-9236-7ED01CD600B7",NA,"Kirkendale, L.",NA,"",NA,"",NA,"Aspidochirotida",NA,NA,NA,"",NA,"","",NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,"86774a618ebb679b217b5ff9b8579949301afa9c",NA,"",NA,"",NA,2,NA,"",NA,"",NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,"Holothuriidae","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"95ce1e43-b2a4-455b-891d-4aa4ba7ad6de",NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"2014-09-12T14:54:47.065Z","Invertebrate Zoology","",NA,NA,166.946633333333,NA,"",NA,"","Holothuria",NA,"","LAK-254",NA,NA,"","95ce1e43-b2a4-455b-891d-4aa4ba7ad6de",NA,NA,NA,NA,NA,NA,"09/08/2014",NA,NA,NA,"","FLMNH","","",NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,"difficilis",NA,NA,NA,"",NA,NA,"3152-Echinodermata","","Nauru Island",NA,NA,NA,NA
