"966","USA",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"UGI-Station-302",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","3f5f26d96c0120f2a9785c9e0134af0d40ec05cd",13.5,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T10:52:51.522Z",144.8,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Guam Island",NA,NA,NA,"D. R. Hopper","38c33219-423e-458e-8352-329f973a47d9","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,1989,"",NA,"12345-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"0B6FAC3B-6697-4F67-B3CF-249E45B25EDA",7,NA,NA,"",NA,"Mariana Islands","09/08/2014",NA,NA,"",NA,"38c33219-423e-458e-8352-329f973a47d9",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
"1097","Vanuatu",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Vanuatu-002",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","136ee8317710157be244c2311c5428cafe5a56e6",NA,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T18:23:03.034Z",NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,29,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"David Lane et al.","f07aa796-51b8-4fb7-a489-cec4c27c65be","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,2006,"",NA,"5557-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"A70A9BCE-605E-40A9-9167-AEF08A5E40A8",9,NA,NA,"",NA,"Sanma Province","09/08/2014",NA,NA,"",NA,"f07aa796-51b8-4fb7-a489-cec4c27c65be",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
"1406","Federated States of Micronesia",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kim-YAP-St-02",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","398dde6619ab9602f4ffe1419f601f6271e38ce4",9.3329,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T13:56:32.264Z",138.0557,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,11,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Yap Island",NA,NA,NA,"Sun Kim","76c4f6fc-b143-42f6-9204-745e7997bdd0","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,2009,"",NA,"11163-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"360B96DC-846F-4209-816C-933246EBAF09",12,NA,NA,"",NA,"Caroline Islands","09/08/2014",NA,NA,"",NA,"76c4f6fc-b143-42f6-9204-745e7997bdd0",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
"1539","Papua New Guinea",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"PR47",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","67fcae06c83a8cb3438d1f134c816aad5efa6786",-5.1875,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T10:01:24.058Z",145.806671,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,16,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"Heok Hui Tan, Hugh Morrison, Vanessa Knutson, Lisa Becking, Anthony Berberian","6102b244-0d06-43bb-ba08-40b481623520","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,2012,"",NA,"14774-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"D33623CA-00F2-4BA9-9864-CAFCA6006A97",11,NA,NA,"",NA,"Madang Province","09/08/2014",NA,NA,"",NA,"6102b244-0d06-43bb-ba08-40b481623520",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
"1765","Philippines",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"SEMP-08",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","35e25cff897cbea078bc152ce1ed5d125ab457a0",NA,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T15:21:44.261Z",NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,26,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"Kris Netchy & Alex Kerr","3135dec0-906d-4df2-99c9-e9440088714e","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,2006,"",NA,"5710-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"40846633-89EA-448C-91E7-8C684CEECCD3",5,NA,NA,"",NA,"Negros Oriental","09/08/2014",NA,NA,"",NA,"3135dec0-906d-4df2-99c9-e9440088714e",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
"2124","Fiji",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"BFIJI-406",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","b433aa21820cda1a0431d446f156be97ce2e112c",NA,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T12:12:30.306Z",NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,1,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Matuku Island",NA,NA,NA,"Mascha, M.","b737d201-1391-4890-b6d6-f0975827b2d6","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,1988,"",NA,"1369-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"EFA7CBF6-D28E-49CA-81DB-00C2837667CB",1,NA,NA,"",NA,"Fiji Islands","09/08/2014",NA,NA,"",NA,"b737d201-1391-4890-b6d6-f0975827b2d6",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
"2142","Vanuatu",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Vanuatu-001",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","47b08dbfc2454582a6f2e5d306e0d3e0e62bcf24",NA,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T09:42:56.059Z",NA,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,9,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"David Lane et al.","69b163ff-3a11-4b59-86bc-99d5601fa08d","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,2006,"",NA,"5560-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"1EE02910-B937-4DFF-85B1-F114A543C65F",10,NA,NA,"",NA,"Sanma Province","09/08/2014",NA,NA,"",NA,"69b163ff-3a11-4b59-86bc-99d5601fa08d",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
"2144","France",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"MAY08-St6",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","2f8110503fb197b0ff6d3eec6d4b1b3018619133",-12.855141,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T09:44:53.705Z",45.268553,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,2,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Mayotte Island",NA,NA,NA,"Arthur Anker, François Michonneau","9368680e-ad6d-4965-8230-77276e219ae2","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,2008,"",NA,"7009-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"C1B8DDE3-E518-4810-8382-BCC28957E7B5",6,NA,NA,"",NA,"Comoros Islands","09/08/2014",NA,NA,"",NA,"9368680e-ad6d-4965-8230-77276e219ae2",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
"2174","Saudi Arabia",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"SAFA-008",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","c11efaef50fe6a6aa7481b4adb85c6bb222c8609",18.22055,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T12:40:36.601Z",41.32438,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,6,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"Arthur Anker, Patrick Norby, Gustav Paulay","9a0c3cb1-9255-4f41-a15e-c98fdd17544b","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,2013,"",NA,"13961-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"5976753C-1CBC-40FE-BFBF-ABA65789F758",3,NA,NA,"",NA,"","09/08/2014",NA,NA,"",NA,"9a0c3cb1-9255-4f41-a15e-c98fdd17544b",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
"2467","Saudi Arabia",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"SAFA-002",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","39539b29af920e093e3f1ab5bda82b3aec21ade6",19.5707,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T14:29:32.618Z",40.00878,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,3,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"Arthur Anker, Patrick Norby, Gustav Paulay","6165160e-d8a6-4aa7-85ef-b73a256ba16d","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,2013,"",NA,"16109-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"3643239B-9907-415D-9900-75AC5630091B",3,NA,NA,"",NA,"","09/08/2014",NA,NA,"",NA,"6165160e-d8a6-4aa7-85ef-b73a256ba16d",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
"2501","Federated States of Micronesia",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"Kim-YAP-St-03",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","310ad1b29af730e2064184df93f423690b94dab8",9.332,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T12:16:34.073Z",138.0557,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,11,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Yap Island",NA,NA,NA,"Sun Kim","458b5912-c302-497f-8d74-b71226ece422","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,2009,"",NA,"11414-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"8DBE66CE-3257-400C-8BB7-6703AA1D64C6",12,NA,NA,"",NA,"Caroline Islands","09/08/2014",NA,NA,"",NA,"458b5912-c302-497f-8d74-b71226ece422",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
"2782","France",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"MAY08-St1",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","b4eff4306681b776c6ea2b6f5c37d4fdd529acba",-12.947371,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T10:06:45.328Z",45.099797,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,29,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Mayotte Island",NA,NA,NA,"Arthur Anker, François Michonneau","d5f6b457-173b-4d0d-ac6e-35569ebba52a","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,2008,"",NA,"7011-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"CED56DD9-380B-4D2B-BD64-EC413854BE0B",5,NA,NA,"",NA,"Comoros Islands","09/08/2014",NA,NA,"",NA,"d5f6b457-173b-4d0d-ac6e-35569ebba52a",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
"2822","Saudi Arabia",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"PreservedSpecimen","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"SAFA-005",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","Holothuriidae",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,"","e315b8e80f8e824de8100182e4e74cdda754b889",19.00533,"Holothuria","",NA,NA,NA,NA,"","Cherbonnier",NA,"2014-09-12T12:20:14.430Z",40.14815,"872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,"Holothuria fuscogilva",NA,"Invertebrate Zoology",NA,NA,4,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"Arthur Anker, Patrick Norby, Gustav Paulay","2924fb87-6b3a-4f63-b279-429e70145cf6","Holothuroidea",NA,"",NA,NA,NA,NA,NA,NA,NA,2013,"",NA,"13424-Echinodermata",NA,NA,NA,"","Aspidochirotida","",NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"fuscogilva","",NA,NA,NA,"",NA,NA,NA,NA,"D8E599EF-68BC-4280-A005-7946A9311FAE",3,NA,NA,"",NA,"","09/08/2014",NA,NA,"",NA,"2924fb87-6b3a-4f63-b279-429e70145cf6",NA,"",NA,NA,"",NA,NA,"",NA,"","","",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,NA
