"990",NA,NA,"",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,29,"",NA,"Mariana Islands","",NA,NA,NA,NA,NA,"",NA,"e4c08026-aecc-47d3-882e-ed16a56cd378",NA,NA,NA,NA,"USA",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,"","78125FC2-EE1E-4FD8-9D93-F8927DC8A383",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",144.8,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2003,"",NA,"e4c08026-aecc-47d3-882e-ed16a56cd378","95d1ded025d52671cb70c00dda44cf978f064101","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Guam Island",NA,"Invertebrate Zoology","","",NA,"",13.5,"GP-Loc-754","4776-Echinodermata",NA,NA,"","","2014-09-12T11:32:16.778Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"994",NA,NA,"Jenna Moore",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,9,"",NA,"Gambier Islands","",NA,NA,NA,NA,NA,"",NA,"edb2f9da-3e05-44e2-b94f-f27e2c09a9c3",NA,NA,NA,NA,"French Polynesia",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"","9F4132B5-1A3B-4D7A-9602-653682395CAF",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",-134.4934,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2013,"",NA,"edb2f9da-3e05-44e2-b94f-f27e2c09a9c3","d8ad6efbce03df1213aaa81465f0528ac3dfcb5f","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,"Invertebrate Zoology","","",NA,"",-23.3574,"GATE-65","13234-Echinodermata",NA,NA,"","","2014-09-12T11:52:07.918Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"1005",NA,NA,"Nathaniel Evans, Serge Andrefouet, Francesca Benzoni, Jean-Louis Menou, Marco Olivirio, Claude Payri",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,3,"",NA,"Marquesas Islands","",NA,NA,NA,NA,NA,"",NA,"5c2644fe-43be-4ee0-ae16-e0e5ff1ebb9f",NA,NA,NA,NA,"French Polynesia",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,"","8035F470-2BAB-4DA6-95E3-1F28F002D3EE",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",-138.684883333333,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2011,"",NA,"5c2644fe-43be-4ee0-ae16-e0e5ff1ebb9f","4c2ed45cefd15aaa36b8459210e716bd6244547a","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Fatu Hiva",NA,"Invertebrate Zoology","","",NA,"",-10.5329,"MQ025","11297-Echinodermata",NA,NA,"","","2014-09-12T09:24:12.596Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"1043",NA,NA,"Christian McKeon, Chris Meyer, Gustav Paulay",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,18,"",NA,"Society Islands","",NA,NA,NA,NA,NA,"",NA,"4c63f6e9-a07b-4db0-92d2-59ea8ddaa60e",NA,NA,NA,NA,"French Polynesia",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,"","C672BD64-F33D-4E11-962C-0667B9EAD7BE",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",-149.8306,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2006,"",NA,"4c63f6e9-a07b-4db0-92d2-59ea8ddaa60e","359b4cde1db84d33787fc17339abd93447a79c13","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Moorea Island",NA,"Invertebrate Zoology","","",NA,"",-17.4764,"GP-Loc-881","5280-Echinodermata",NA,NA,"","","2014-09-12T16:04:58.166Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"1162",NA,NA,"Starmer, J.",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"Henderson Island","",NA,NA,NA,NA,NA,"",NA,"db730f55-c57a-40aa-a9ff-e36185dc36e9",NA,NA,NA,NA,"Pitcairn Islands",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","7E4A815B-4396-4EEA-AFEC-2E50BBC50100",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,"db730f55-c57a-40aa-a9ff-e36185dc36e9","f0089c0c8f871bd5e098c4ad09edea34374a7be2","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,"Invertebrate Zoology","","",NA,"",NA,"JAS-HEN-Beach","3450-Echinodermata",NA,NA,"","","2014-09-12T14:19:48.974Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"1251",NA,NA,"R. Dickinson",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,19,"",NA,"Mariana Islands","",NA,NA,NA,NA,NA,"",NA,"c185cbf2-1480-4676-811b-e860be3316cc",NA,NA,NA,NA,"USA",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"","3C5FF3F7-59AB-4CF0-BC99-AD9EA34AFE68",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",144.8,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",1975,"",NA,"c185cbf2-1480-4676-811b-e860be3316cc","4f957d06e5dd1b746e97e900e99b5533a63f5d47","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Guam Island",NA,"Invertebrate Zoology","","",NA,"",13.5,"UGI-Station-52","12284-Echinodermata",NA,NA,"","","2014-09-12T13:21:42.065Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"1309",NA,NA,"",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,28,"",NA,"Yap State","",NA,NA,NA,NA,NA,"",NA,"8faf9d56-b5af-4579-90ba-ac455c96ef73",NA,NA,NA,NA,"Micronesia",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,"","D6142F6B-1ECD-4B7D-AD1B-E45AB924397B",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",139.6707,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2007,"",NA,"8faf9d56-b5af-4579-90ba-ac455c96ef73","465e0ab1756ecbb7bf7b8fa2e4469e39c8d41a1f","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,"Invertebrate Zoology","","",NA,"",9.8424,"Starmer-ULI-008","12600-Echinodermata",NA,NA,"","","2014-09-12T16:57:45.901Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"1324",NA,NA,"F. Rowe",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,5,"",NA,"Mariana Islands","",NA,NA,NA,NA,NA,"",NA,"23505837-dff3-4106-9fd2-d9ed98d7033c",NA,NA,NA,NA,"USA",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"","AB9135E3-B9A7-46AF-BE73-054194ED3B08",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",144.8,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",1975,"",NA,"23505837-dff3-4106-9fd2-d9ed98d7033c","b35f312ed1e60251d601ae389ecdad8094ba4fe6","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Guam Island",NA,"Invertebrate Zoology","","",NA,"",13.5,"UGI-Station-305","12324-Echinodermata",NA,NA,"","","2014-09-12T09:30:04.575Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"1330",NA,NA,"Sun Kim",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,13,"",NA,"Caroline Islands","",NA,NA,NA,NA,NA,"",NA,"46a32b73-2048-4913-ae1f-a29e5dfdc233",NA,NA,NA,NA,"Federated States of Micronesia",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,"","BFB0357A-52DC-4537-B57B-94DFAE9845B0",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",138.0547,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2009,"",NA,"46a32b73-2048-4913-ae1f-a29e5dfdc233","79f4668251b891f9f8914cb3a91902914c44c9f9","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Yap Island",NA,"Invertebrate Zoology","","",NA,"",9.3331,"Kim-YAP-St-06","11389-Echinodermata",NA,NA,"","","2014-09-12T09:38:45.346Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"1570",NA,NA,"Sun Kim, Alex Kerr, François Michonneau",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,23,"",NA,"Caroline Islands","",NA,NA,NA,NA,NA,"",NA,"68abed86-fce1-4f69-b97f-fa614fe446c2",NA,NA,NA,NA,"Federated States of Micronesia",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"","5934FE22-1429-406C-883A-3CD8CE3EA8C0",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",163.01986,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2008,"",NA,"68abed86-fce1-4f69-b97f-fa614fe446c2","0bbffb4667094b268f9f23b9b6bba212167c246f","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Kosrae Island",NA,"Invertebrate Zoology","","",NA,"",5.34222,"KOSR-01","6950-Echinodermata",NA,NA,"","","2014-09-12T10:30:50.031Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"1602",NA,NA,"",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"",NA,"Pitcairn Islands","",NA,NA,NA,NA,NA,"",NA,"8e7ace7a-1eb1-41fe-b1db-ecab0da9b46d",NA,NA,NA,NA,"Pitcairn Islands",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","2083FC21-EECC-4677-8902-56DB1A24FAA9",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,"",NA,"8e7ace7a-1eb1-41fe-b1db-ecab0da9b46d","3113c073befa10bba5c3c3eca69f76b7e1a2f432","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Henderson Island",NA,"Invertebrate Zoology","","",NA,"",NA,"ZZZ-090677","3195-Echinodermata",NA,NA,"","","2014-09-12T11:45:19.687Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"1608",NA,NA,"Paulay, G.",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,14,"",NA,"Cook Islands","",NA,NA,NA,NA,NA,"",NA,"73c36313-075d-4781-a105-ad990cc2a2ec",NA,NA,NA,NA,"Cook Islands",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,"","B18DB782-DEFD-402C-A0C3-4A01437FD34A",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",-159.8,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",1982,"",NA,"73c36313-075d-4781-a105-ad990cc2a2ec","56bcaa6c99d5e52baca2c0884aae200b6ae3d843","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Rarotonga Island",NA,"Invertebrate Zoology","","",NA,"",-21.2,"ZZZ-086927","993-Echinodermata",NA,NA,"","","2014-09-12T13:16:19.190Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
"1622",NA,NA,"Nathaniel Evans, Serge Andrefouet, Francesca Benzoni, Jean-Louis Menou, Marco Olivirio, Claude Payri",NA,"Bell","","PreservedSpecimen","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,9,"",NA,"Marquesas Islands","",NA,NA,NA,NA,NA,"",NA,"d2b8afb4-79f3-4cce-ac17-5af4714cddaa",NA,NA,NA,NA,"French Polynesia",NA,"",NA,NA,NA,"",NA,"",NA,NA,"","FLMNH",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,"","EA873C12-D670-4E0D-8371-F2E3ABB9EC96",NA,NA,"",NA,"Holothuria whitmaei",NA,"",NA,"",-140.087566666667,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",2011,"",NA,"d2b8afb4-79f3-4cce-ac17-5af4714cddaa","8946b3adc15ca8c1ed058600341d10dcc2bde504","",NA,"09/08/2014",NA,NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,NA,"",NA,"Holothuriidae","","","",NA,NA,"",NA,NA,NA,NA,"Aspidochirotida",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,NA,NA,"whitmaei",NA,NA,NA,NA,"","",NA,NA,NA,"Holothuroidea","",NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"Ua Pou",NA,"Invertebrate Zoology","","",NA,"",-9.45288333333333,"MQ041","11280-Echinodermata",NA,NA,"","","2014-09-12T15:31:05.192Z",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holothuria","",NA,NA,NA
