"","dwc.decimalLatitude","dwc.taxonRank","dwc.class","dwc.georeferencedDate","dwc.lifeStage","dwc.maximumElevationInMeters","dwc.recordNumber","inhs.location_Basin","idigbio.determinationHistory","dwc.minimumElevationInMeters","dwc.year","dwc.lowestBiostratigraphicZone","dwc.vernacularName","dwc.associatedReferences","idigbio.associateRelationship","inhs.superfamily","inhs.juv_males","dwc.verbatimCoordinates","dwc.scientificNameID","dwc.georeferenceProtocol","dwc.institutionID","dwc.rights","idigbio.hostFamily","inhs.formII_females","inhs.vouchered","dwc.georeferenceRemarks","dwc.taxonRemarks","dwc.identificationReferences","dwc.coordinatePrecision","dwc.higherClassification","dwc.scientificNameAuthorship","dwc.georeferenceSources","inhs.location_RiverMile","idigbio.subfamily","idigbio.barcodeValue","dcterms.rights","dwc.collectionID","dwc.originalNameUsage","inhs.dead","dwc.datasetID","inhs.total_females","dwc.accessRights","dcterms.source","fcc.datePicked","dwc.locality","dwc.verbatimLongitude","idigbio.endangeredStatus","dwc.phylum","dwc.catalogNumber","dwc.previousIdentifications","dwc.identificationRemarks","dwc.country","dwc.continent","idigbio.dateModified","dwc.nomenclaturalCode","dwc.verbatimCoordinateSystem","row.number","dwc.datasetName","dwc.latestPeriodOrHighestSystem","inhs.total_Males","dwc.county","dwc.georeferenceVerificationStatus","dwc.verbatimElevation","inhs.locationTrs","idigbio.etag","dwc.identificationVerificationStatus","dwc.verbatimDepth","dwc.sex","idigbio.substrate","inhs.live","dwc.day","dwc.coordinateUncertaintyInMeters","idigbio.associateNotes","dwc.recordedBy","dwc.group","dwc.minimumDepthInMeters","dwc.relatedResourceID","dwc.latestAgeOrHighestStage","dwc.fieldNotes","dwc.waterBody","idigbio.associateCommonName","idigbio.associatedFamily","dcterms.reference","dwc.eventID","dwc.occurrenceStatus","fcc.pickedBy","dwc.earliestAgeOrLowestStage","dwc.collectionCode","dwc.lithostratigraphicTerms","dwc.informationWithheld","idigbio.recordID","dwc.specificEpithet","inhs.formI_males","dwc.behavior","dwc.endDayOfYear","idigbio.recordId","dwc.member","dwc.dateIdentified","idigbio.tribe","dwc.eventDate","dwc.eventRemarks","dwc.earliestEraOrLowestErathem","dwc.ownerInstitutionCode","dwc.municipality","dwc.geodeticDatum","dwc.basisOfRecord","dwc.order","idigbio.subgenus","fcc.superfamily","dwc.verbatimLocality","idigbio.associateIdentifier","dwc.verbatimSRS","dwc.dataGeneralizations","dwc.otherCatalogNumbers","dwc.stateProvince","dcterms.modified","id","dwc.nameAccordingTo","dwc.georeferencedBy","inhs.instars_Female","dwc.preparation","dwc.countryCode","dwc.formation","dwc.reproductiveCondition","dwc.infraspecificEpithet","dwc.institutionCode","dwc.verbatimTaxonRank","idigbio.version","dwc.namePublishedIn","idigbio.associateDeterminedBy","dwc.bed","dwc.VerbatimEventDate","dwc.dynamicProperties","dwc.verbatimLatitude","dwc.locationID","dcterms.bibliographicCitation","idigbio.preparationCount","dwc.associatedOccurrences","dwc.latestEpochOrHighestSeries","dcterms.accessRights","dwc.eventTime","dwc.associatedSequences","inhs.juv_undetermined","idigbio.associatedRelationship","dwc.namePublishedInID","dwc.associatedTaxa","idigbio.associateCondition","dwc.identificationQualifier","dwc.samplingProtocol","dwc.island","dwc.fieldNumber","dwc.samplingEffort","dwc.identificationID","dwc.maximumDepthInMeters","dwc.earliestPeriodOrLowestSystem","dwc.preparations","dwc.individualID","dwc.locationRemarks","dwc.occurrenceID","dwc.family","dwc.individualCount","dwc.higherGeography","dwc.islandGroup","inhs.juv_females","dcterms.rightsHolder","dwc.establishmentMeans","dwc.taxonID","symbiota.verbatimScientificName","dcterms.language","dwc.kingdom","dcterms.references","dwc.nomenclaturalStatus","fcc.subfamily","dwc.rightsHolder","dwc.locationAccordingTo","dwc.typeStatus","idigbio.associateAuthor","inhs.relic","dwc.scientificName","dwc.footprintWKT","dwc.occurrenceRemarks","dwc.latestEraOrHighestErathem","dwc.habitat","idigbio.createdBy","dwc.earliestEpochOrLowestSeries","inhs.formII_males","dwc.month","idigbio.uuid","dwc.startDayOfYear","inhs.location_Stream","inhs.instars_Male","dwc.identifiedBy","idigbio.recordIds","dcterms.type","http...symbiota.org.terms.verbatimScientificName","dwc.verbatimEventDate","symbiotaverbatimScientificName","dwc.disposition","dwc.decimalLongitude","idigbio.preservative","dwc.associatedMedia","dwc.genus","dwc.subgenus"
"8",NA,NA,"Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"",NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) edulis","Lesson, 1830","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nosy Be Madagascar [Madagascar]","",NA,"Echinodermata","128868",NA,"","","Indian Ocean","2014-01-10T20:56:19.191Z","ICZN","",NA,NA,NA,NA,"",NA,NA,NA,"1ec18231987bbf7550de3433366038e19b7fff69","","","",NA,NA,NA,NA,NA,"Arthur G. Humes",NA,2,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"IZ",NA,NA,NA,"edulis",NA,NA,NA,NA,NA,"",NA,"1967-05-25","",NA,"Museum of Comparative Zoology, Harvard University",NA,"","PreservedSpecimen","Aspidochirotida",NA,NA,NA,NA,NA,NA,"other number=1028","","2014-01-08 14:02:28.0","2bb50372-3df5-4f7b-a32c-70cdec38e3c5",NA,"",NA,NA,NA,NA,NA,"","MCZ",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,2,NA,"whole animal (70% ethanol)",NA,"","MCZ:IZ:128868","Holothuriidae",1,"Indian Ocean, Indian Ocean, Western",NA,NA,"President and Fellows of Harvard College",NA,NA,NA,"en","Animalia","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128868",NA,NA,NA,NA,"",NA,NA,"Holothuria (Halodeima) edulis",NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"2bb50372-3df5-4f7b-a32c-70cdec38e3c5",0,NA,NA,"[no agent data]",NA,"PhysicalObject",NA,"May 25, 1967",NA,"not applicable",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:128868","Holothuria",NA
"19",NA,NA,"Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"",NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) edulis","Lesson, 1830","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australia, Queensland, Torres Strait, Murray Island (Mer), southeastern reef flat","",NA,"Echinodermata","HOL-1024",NA,"Original or Mr. Grosse's fig. 13.","","Pacific Ocean","2014-06-18T08:40:38.971Z","ICZN","",NA,NA,NA,NA,"",NA,NA,NA,"a0619a4bb71a128d3e5f89d053b75bbe755b5090","","","",NA,NA,NA,NA,NA,"Carnegie Expedition to the Torres Strait",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"IZ",NA,NA,NA,"edulis",NA,NA,NA,NA,NA,"",NA,"1913-10-10","",NA,"Museum of Comparative Zoology, Harvard University",NA,"","PreservedSpecimen","Aspidochirotida",NA,NA,NA,NA,NA,NA,"","","2014-06-09 15:35:46.0","7db8048c-77a4-4e00-aa0c-b53409e8ce07",NA,"",NA,NA,NA,NA,NA,"","MCZ",NA,NA,NA,NA,NA,NA,"age class: adult","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"","MCZ:IZ:HOL-1024","Holothuriidae",1,"Pacific Ocean, Pacific, Western Central",NA,NA,"President and Fellows of Harvard College",NA,NA,NA,"en","Animalia","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1024",NA,NA,NA,NA,"",NA,NA,"Holothuria (Halodeima) edulis",NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"7db8048c-77a4-4e00-aa0c-b53409e8ce07",0,NA,NA,"[no agent data]",NA,"PhysicalObject",NA,"October 10, 1913",NA,"not applicable",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1024","Holothuria",NA
"63",NA,NA,"Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"",NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) edulis","Lesson, 1830","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zanzibar, Tanzania","",NA,"Echinodermata","HOL-1398",NA,"","","Indian Ocean","2014-07-13T04:49:49.649Z","ICZN","",NA,NA,NA,NA,"",NA,NA,NA,"96b9484f5e69f91eb1b1c369e66a5c5fb64ecafe","","","",NA,NA,NA,NA,NA,"Caleb Cooke",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"IZ",NA,NA,NA,"edulis",NA,NA,NA,NA,NA,"",NA,"1800-01-01/2013-09-05","",NA,"Museum of Comparative Zoology, Harvard University",NA,"","PreservedSpecimen","Aspidochirotida",NA,NA,NA,NA,NA,NA,"","","2014-07-02 08:35:22.0","4638015b-80c9-4811-bfd3-f26522c8111e",NA,"",NA,NA,NA,NA,NA,"","MCZ",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"","MCZ:IZ:HOL-1398","Holothuriidae",1,"Indian Ocean, Indian Ocean, Western",NA,NA,"President and Fellows of Harvard College",NA,NA,NA,"en","Animalia","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1398",NA,NA,NA,NA,"",NA,NA,"Holothuria (Halodeima) edulis",NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"4638015b-80c9-4811-bfd3-f26522c8111e",0,NA,NA,"[no agent data]",NA,"PhysicalObject",NA,"[no verbatim date]",NA,"not applicable",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1398","Holothuria",NA
"602",13.506196,NA,"Holothuroidea",NA,NA,NA,"11, 38, 39",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"GEOLocate","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"",NA,NA,401,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) edulis","Lesson, 1830","GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republic of the Philippines, Mindoro Island, Port Galera","120.953295d",NA,"Echinodermata","HOL-1101",NA,"Back dusky; belly old rose; colors intergrading on sides.","","Pacific Ocean","2014-07-12T17:11:39.001Z","ICZN","decimal degrees",NA,NA,NA,NA,"",NA,NA,NA,"c17df8b935aa868d7ec608d0b0e6727457ef9f13","unverified","","",NA,NA,NA,401,NA,"Alvin Seale, Philippine Marine Biological Station",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"IZ",NA,NA,NA,"edulis",NA,NA,NA,NA,NA,"",NA,"1914-01-01/1914-12-31","",NA,"Museum of Comparative Zoology, Harvard University",NA,"WGS84","PreservedSpecimen","Aspidochirotida",NA,NA,NA,NA,NA,NA,"collector number=11, 38, 39","","2014-06-13 14:45:07.0","d6686306-b6fa-43c4-bdcc-ad9cc6cf3f79",NA,"Jessica Anne Mullen",NA,NA,NA,NA,NA,"","MCZ",NA,NA,NA,NA,NA,NA,"","13.506196d","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"","MCZ:IZ:HOL-1101","Holothuriidae",1,"Pacific Ocean, Pacific, Western Central",NA,NA,"President and Fellows of Harvard College",NA,NA,NA,"en","Animalia","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1101",NA,NA,NA,NA,"",NA,NA,"Holothuria (Halodeima) edulis",NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"d6686306-b6fa-43c4-bdcc-ad9cc6cf3f79",0,NA,NA,"[no agent data]",NA,"PhysicalObject",NA,"1914",NA,"not applicable",120.953295,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1101","Holothuria",NA
"626",NA,NA,"Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"",NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) edulis","Lesson, 1830","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[no specific locality]","",NA,"Echinodermata","HOL-547",NA,"","","[no higher geography data]","2014-07-13T04:35:58.096Z","ICZN","",NA,NA,NA,NA,"",NA,NA,NA,"26e57aea4ac743ae1e156fb3fdef0606e549128c","","","",NA,NA,NA,NA,NA,"[no agent data]",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"IZ",NA,NA,NA,"edulis",NA,NA,NA,NA,NA,"",NA,"1700-01-01/2014-01-08","",NA,"Museum of Comparative Zoology, Harvard University",NA,"","PreservedSpecimen","Aspidochirotida",NA,NA,NA,NA,NA,NA,"","","2014-06-10 16:59:13.0","b40404af-5b1f-4c28-9bd9-3489b11ffb84",NA,"",NA,NA,NA,NA,NA,"","MCZ",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"","MCZ:IZ:HOL-547","Holothuriidae",1,"[no higher geography data], null",NA,NA,"President and Fellows of Harvard College",NA,NA,NA,"en","Animalia","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-547",NA,NA,NA,NA,"",NA,NA,"Holothuria (Halodeima) edulis",NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"b40404af-5b1f-4c28-9bd9-3489b11ffb84",0,NA,NA,"[no agent data]",NA,"PhysicalObject",NA,"unknown",NA,"not applicable",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-547","Holothuria",NA
"633",NA,NA,"Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"",NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) edulis","Lesson, 1830","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Africa, Tanzania, Zanzibar","",NA,"Echinodermata","HOL-1397",NA,"","","Indian Ocean","2014-07-12T23:08:57.386Z","ICZN","",NA,NA,NA,NA,"",NA,NA,NA,"b216f5e4c6cbdc1d0aef564cf87ad4c4587e4fef","","","",NA,NA,NA,NA,NA,"[no agent data]",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"IZ",NA,NA,NA,"edulis",NA,NA,NA,NA,NA,"",NA,"1700-01-01/2014-01-08","",NA,"Museum of Comparative Zoology, Harvard University",NA,"","PreservedSpecimen","Aspidochirotida",NA,NA,NA,NA,NA,NA,"other number=567","","2014-01-08 12:02:26.0","13b73b86-6bb4-4167-b597-5259676f7992",NA,"",NA,NA,NA,NA,NA,"","MCZ",NA,NA,NA,NA,NA,NA,"age class: young","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"","MCZ:IZ:HOL-1397","Holothuriidae",1,"Indian Ocean, Indian Ocean, Western",NA,NA,"President and Fellows of Harvard College",NA,NA,NA,"en","Animalia","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1397",NA,NA,NA,NA,"",NA,NA,"Holothuria (Halodeima) edulis",NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"13b73b86-6bb4-4167-b597-5259676f7992",0,NA,NA,"[no agent data]",NA,"PhysicalObject",NA,"[date unknown]",NA,"not applicable",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1397","Holothuria",NA
"930",NA,NA,"Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"",NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) edulis","Lesson, 1830","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Borneo bank: Lumu-Lumu shoal","",NA,"Echinodermata","HOL-1847",NA,"","","Pacific Ocean","2014-07-12T19:23:41.458Z","ICZN","",NA,NA,NA,NA,"",NA,NA,NA,"a81ade001f92aa254efcd1a4324125ec6c08d6a0","","","",NA,NA,NA,NA,NA,"Siboga Expedition",NA,34.7472,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"IZ",NA,NA,NA,"edulis",NA,NA,NA,NA,NA,"",NA,"1899-01-01/2014-01-08","",NA,"Museum of Comparative Zoology, Harvard University",NA,"","PreservedSpecimen","Aspidochirotida",NA,NA,NA,NA,NA,NA,"station number=78","","2014-01-08 12:02:26.0","bd50b200-ea81-41bd-b8dd-32e534624bf1",NA,"",NA,NA,NA,NA,NA,"","MCZ",NA,NA,NA,NA,NA,NA,"age class: young","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,34.7472,NA,"whole animal (70% ethanol)",NA,"","MCZ:IZ:HOL-1847","Holothuriidae",1,"Pacific Ocean, Pacific, Western Central",NA,NA,"President and Fellows of Harvard College",NA,NA,NA,"en","Animalia","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1847",NA,NA,NA,NA,"",NA,NA,"Holothuria (Halodeima) edulis",NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"bd50b200-ea81-41bd-b8dd-32e534624bf1",0,NA,NA,"[no agent data]",NA,"PhysicalObject",NA,"[no verbatim date]",NA,"not applicable",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1847","Holothuria",NA
"1520",NA,NA,"Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"",NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) edulis","Lesson, 1830","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Panope, Caroline Islands","",NA,"Echinodermata","HOL-577",NA,"","","Pacific Ocean","2014-07-12T21:54:32.882Z","ICZN","",NA,NA,NA,NA,"",NA,NA,NA,"1d53d10d683fa78a1957442f4b761ed2cd42f9b5","","","",NA,NA,NA,NA,NA,"Albert A. Sturgis",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"IZ",NA,NA,NA,"edulis",NA,NA,NA,NA,NA,"",NA,"1877-01-01/2014-01-08","",NA,"Museum of Comparative Zoology, Harvard University",NA,"","PreservedSpecimen","Aspidochirotida",NA,NA,NA,NA,NA,NA,"","","2014-01-08 11:02:30.0","04ea6baf-595a-4116-a602-9cd9e530b1b9",NA,"",NA,NA,NA,NA,NA,"","MCZ",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"","MCZ:IZ:HOL-577","Holothuriidae",1,"Pacific Ocean, Pacific, Eastern Central",NA,NA,"President and Fellows of Harvard College",NA,NA,NA,"en","Animalia","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-577",NA,NA,NA,NA,"",NA,NA,"Holothuria (Halodeima) edulis",NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"04ea6baf-595a-4116-a602-9cd9e530b1b9",0,NA,NA,"[no agent data]",NA,"PhysicalObject",NA,"1877",NA,"not applicable",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-577","Holothuria",NA
"1812",NA,NA,"Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"",NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) edulis","Lesson, 1830","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Philippines: Bohol","",NA,"Echinodermata","HOL-512",NA,"","","Pacific Ocean","2014-07-12T21:39:13.977Z","ICZN","",NA,NA,NA,NA,"",NA,NA,NA,"382705e6b928fa98e26b353b918fe393d8c099e7","","","",NA,NA,NA,NA,NA,"[no agent data]",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"IZ",NA,NA,NA,"edulis",NA,NA,NA,NA,NA,"",NA,"1800-01-01/2014-01-09","",NA,"Museum of Comparative Zoology, Harvard University",NA,"","PreservedSpecimen","Aspidochirotida",NA,NA,NA,NA,NA,NA,"other number=93","","2014-01-08 11:02:31.0","e7fa0d17-594e-4f14-a2b7-de5e76eccbc8",NA,"",NA,NA,NA,NA,NA,"","MCZ",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"","MCZ:IZ:HOL-512","Holothuriidae",1,"Pacific Ocean, Pacific, Western Central",NA,NA,"President and Fellows of Harvard College",NA,NA,NA,"en","Animalia","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-512",NA,NA,NA,NA,"",NA,NA,"Holothuria (Halodeima) edulis",NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"e7fa0d17-594e-4f14-a2b7-de5e76eccbc8",0,NA,NA,"[no agent data]",NA,"PhysicalObject",NA,"unknown",NA,"not applicable",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-512","Holothuria",NA
"2068",11.167626,NA,"Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"GEOLocate","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"",NA,NA,18118,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) edulis","Lesson, 1830","GEOLocate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Republic of the Philippines, Cebu, Bantayan Reef","123.722643d",NA,"Echinodermata","HOL-576",NA,"","","Pacific Ocean","2014-07-13T00:32:11.523Z","ICZN","decimal degrees",NA,NA,NA,NA,"",NA,NA,NA,"6d9a62b5fb613b965695efe9075732969942aab9","unverified","","",NA,NA,NA,18118,NA,"Dr. Lawrence E. Griffin, Philippine Marine Biological Station",NA,7.3152,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"IZ",NA,NA,NA,"edulis",NA,NA,NA,NA,NA,"",NA,"1909-04-01","",NA,"Museum of Comparative Zoology, Harvard University",NA,"WGS84","PreservedSpecimen","Aspidochirotida",NA,NA,NA,NA,NA,NA,"","","2014-06-13 14:59:27.0","6821dc61-d32f-4bde-ae18-3de7a046e8df",NA,"Jessica Anne Mullen",NA,NA,NA,NA,NA,"","MCZ",NA,NA,NA,NA,NA,NA,"","11.167626d","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,10.9728,NA,"whole animal (70% ethanol)",NA,"","MCZ:IZ:HOL-576","Holothuriidae",1,"Pacific Ocean, Pacific, Western Central",NA,NA,"President and Fellows of Harvard College",NA,NA,NA,"en","Animalia","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-576",NA,NA,NA,NA,"",NA,NA,"Holothuria (Halodeima) edulis",NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"6821dc61-d32f-4bde-ae18-3de7a046e8df",0,NA,NA,"[no agent data]",NA,"PhysicalObject",NA,"April 1909",NA,"not applicable",123.722643,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-576","Holothuria",NA
"2348",NA,NA,"Holothuroidea",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,"","b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"",NA,NA,NA,"Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Halodeima) edulis","Lesson, 1830","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australia, Queensland, Torres Strait, Murray Island (Mer), southeastern reef flat","",NA,"Echinodermata","HOL-1023",NA,"","","Pacific Ocean","2014-06-18T06:38:06.089Z","ICZN","",NA,NA,NA,NA,"",NA,NA,NA,"321dc63ad3f3e6d4ddfc27ff3f8c41f4d134f2d9","","","",NA,NA,NA,NA,NA,"Carnegie Expedition to the Torres Strait",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"IZ",NA,NA,NA,"edulis",NA,NA,NA,NA,NA,"",NA,"1913-10-10","",NA,"Museum of Comparative Zoology, Harvard University",NA,"","PreservedSpecimen","Aspidochirotida",NA,NA,NA,NA,NA,NA,"","","2014-06-09 15:35:46.0","87f80388-eabc-4e3a-bf2d-70c566f4ebee",NA,"",NA,NA,NA,NA,NA,"","MCZ",NA,NA,NA,NA,NA,NA,"","","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"whole animal (70% ethanol)",NA,"","MCZ:IZ:HOL-1023","Holothuriidae",1,"Pacific Ocean, Pacific, Western Central",NA,NA,"President and Fellows of Harvard College",NA,NA,NA,"en","Animalia","http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1023",NA,NA,NA,NA,"",NA,NA,"Holothuria (Halodeima) edulis",NA,NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,"87f80388-eabc-4e3a-bf2d-70c566f4ebee",0,NA,NA,"[no agent data]",NA,"PhysicalObject",NA,"October 10, 1913",NA,"not applicable",NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1023","Holothuria",NA
