"","dcterms.modified","dwc.subgenus","dwc.typeStatus","dwc.earliestEpochOrLowestSeries","dwc.locality","idigbio.dateModified","dwc.higherClassification","dwc.collectionID","dwc.verbatimCoordinateSystem","idigbio.recordId","idigbio.associatedFamily","fcc.datePicked","dwc.preparations","dwc.recordNumber","dwc.geodeticDatum","dwc.country","inhs.formII_females","dwc.verbatimElevation","dwc.month","dwc.earliestPeriodOrLowestSystem","inhs.superfamily","dwc.individualID","dwc.earliestAgeOrLowestStage","idigbio.associateCommonName","dwc.VerbatimEventDate","dwc.otherCatalogNumbers","idigbio.preservative","idigbio.recordIds","dwc.originalNameUsage","dwc.dataGeneralizations","symbiota.verbatimScientificName","dwc.behavior","dwc.identificationReferences","dwc.samplingEffort","row.number","dcterms.references","dwc.georeferenceVerificationStatus","dwc.verbatimLongitude","dwc.identificationRemarks","dcterms.type","idigbio.uuid","dwc.verbatimDepth","dwc.previousIdentifications","dwc.identificationID","dwc.municipality","dwc.scientificName","inhs.location_Stream","idigbio.endangeredStatus","inhs.juv_males","dwc.vernacularName","dwc.verbatimLatitude","inhs.vouchered","dwc.locationID","dwc.dynamicProperties","dcterms.rightsHolder","dwc.group","dwc.locationAccordingTo","inhs.juv_undetermined","dwc.islandGroup","dwc.samplingProtocol","inhs.location_RiverMile","dwc.taxonID","inhs.live","dwc.scientificNameAuthorship","idigbio.subgenus","idigbio.associateCondition","inhs.instars_Male","idigbio.associatedRelationship","dwc.taxonRank","inhs.total_females","dwc.ownerInstitutionCode","dwc.occurrenceStatus","dwc.minimumElevationInMeters","dwc.preparation","dwc.basisOfRecord","dwc.startDayOfYear","dwc.fieldNumber","dwc.order","dwc.infraspecificEpithet","dwc.latestAgeOrHighestStage","dwc.associatedMedia","dwc.eventTime","dcterms.reference","dwc.stateProvince","dwc.latestEpochOrHighestSeries","dwc.member","idigbio.determinationHistory","dwc.collectionCode","dwc.associatedReferences","dwc.identificationVerificationStatus","inhs.juv_females","idigbio.substrate","dwc.occurrenceID","dwc.georeferencedBy","dcterms.rights","idigbio.tribe","dwc.verbatimTaxonRank","dwc.nomenclaturalStatus","dwc.eventRemarks","dwc.taxonRemarks","dwc.verbatimSRS","dwc.eventID","dwc.institutionCode","dwc.phylum","dwc.scientificNameID","dcterms.language","dwc.latestPeriodOrHighestSystem","dwc.eventDate","dwc.datasetName","dwc.verbatimEventDate","dwc.namePublishedInID","inhs.formII_males","dwc.catalogNumber","idigbio.associateIdentifier","dwc.georeferenceRemarks","idigbio.recordID","dwc.waterBody","dwc.rightsHolder","dwc.establishmentMeans","idigbio.associateNotes","dwc.associatedSequences","inhs.location_Basin","dwc.nomenclaturalCode","fcc.pickedBy","dwc.maximumElevationInMeters","dwc.datasetID","dwc.associatedOccurrences","idigbio.associateDeterminedBy","dwc.kingdom","idigbio.etag","dwc.georeferenceSources","dwc.fieldNotes","dwc.family","dwc.formation","dwc.lowestBiostratigraphicZone","dwc.disposition","inhs.locationTrs","dwc.locationRemarks","dwc.associatedTaxa","dwc.informationWithheld","id","dwc.recordedBy","dwc.dateIdentified","dwc.countryCode","dwc.year","fcc.superfamily","dwc.bed","dwc.accessRights","dwc.decimalLongitude","dwc.decimalLatitude","idigbio.version","dwc.nameAccordingTo","dwc.latestEraOrHighestErathem","dwc.sex","inhs.relic","dwc.verbatimLocality","dwc.relatedResourceID","inhs.instars_Female","dwc.lithostratigraphicTerms","dwc.specificEpithet","inhs.formI_males","idigbio.subfamily","idigbio.createdBy","idigbio.associateRelationship","dwc.class","dwc.continent","dwc.namePublishedIn","dwc.habitat","dwc.georeferenceProtocol","dwc.higherGeography","dwc.earliestEraOrLowestErathem","dwc.rights","dwc.occurrenceRemarks","inhs.total_Males","dwc.maximumDepthInMeters","dwc.coordinatePrecision","dwc.coordinateUncertaintyInMeters","dwc.individualCount","dwc.identificationQualifier","dwc.lifeStage","idigbio.barcodeValue","dwc.identifiedBy","dwc.reproductiveCondition","dwc.institutionID","dwc.footprintWKT","idigbio.associateAuthor","idigbio.hostFamily","http...symbiota.org.terms.verbatimScientificName","dwc.genus","dcterms.accessRights","symbiotaverbatimScientificName","inhs.dead","fcc.subfamily","dwc.county","dwc.endDayOfYear","dwc.verbatimCoordinates","dwc.island","dwc.day","dwc.georeferencedDate","dwc.minimumDepthInMeters","idigbio.preparationCount","dcterms.source","dcterms.bibliographicCitation"
"23","2014-05-22 11:02:26.0",NA,"",NA,"United States, Hawaii, Maui Island, Lahaina","2014-06-18T05:06:08.443Z","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) pardalis",NA,"",NA,NA,NA,"whole animal (70% ethanol)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-961",NA,"","","PhysicalObject","000010c5-9f53-40a8-bcbc-aed1b64a620c","",NA,NA,NA,"Holothuria (Lessonothuria) pardalis",NA,NA,NA,NA,"",NA,"","","President and Fellows of Harvard College",NA,NA,NA,NA,"",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"PreservedSpecimen",0,"","Aspidochirotida","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-961",NA,NA,"",NA,NA,NA,"IZ","","",NA,NA,"MCZ:IZ:HOL-961","",NA,NA,NA,NA,"",NA,NA,NA,"MCZ","Echinodermata",NA,"en",NA,"1913-12-06",NA,"December 6, 1913",NA,NA,"HOL-961",NA,"",NA,"",NA,NA,NA,NA,NA,"ICZN",NA,NA,NA,"",NA,"Animalia","8c34cd5f798a669a051d19936e193ee9861f1eed","",NA,"Holothuriidae",NA,NA,"not applicable",NA,"",NA,NA,"000010c5-9f53-40a8-bcbc-aed1b64a620c","Hubert Lyman Clark, Carnegie Expedition to the Torres Strait","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"pardalis",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"Holothuroidea","Pacific Ocean",NA,"","","Pacific Ocean, Pacific, Eastern Central",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"[no agent data]",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"32","2014-06-16 10:33:20.0",NA,"",NA,"Republic of the Philippines, Mindoro Island, Port Galera","2014-07-12T21:20:15.977Z","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) pardalis",NA,"decimal degrees",NA,NA,NA,"whole animal (70% ethanol)","","WGS84","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1109",NA,"120.953295d","Color in life: Light green, the markings black: Pale green, with cross bands of darker green over the back. Prickles of back pale green.","PhysicalObject","c00db556-a0f7-4abc-85ac-5ced6825f2d8","",NA,NA,NA,"Holothuria (Lessonothuria) pardalis",NA,NA,NA,NA,"13.506196d",NA,"","","President and Fellows of Harvard College",NA,NA,NA,NA,"",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"PreservedSpecimen",0,"","Aspidochirotida","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1109",NA,NA,"",NA,NA,NA,"IZ","","unverified",NA,NA,"MCZ:IZ:HOL-1109","Jessica Anne Mullen",NA,NA,NA,NA,"",NA,NA,NA,"MCZ","Echinodermata",NA,"en",NA,"1912-04-01/1912-04-30",NA,"April 1912",NA,NA,"HOL-1109",NA,"",NA,"",NA,NA,NA,NA,NA,"ICZN",NA,NA,NA,"",NA,"Animalia","6e348430bc2dde548a958ef3fa87391550e2da7d","GEOLocate",NA,"Holothuriidae",NA,NA,"not applicable",NA,"",NA,NA,"c00db556-a0f7-4abc-85ac-5ced6825f2d8","Alvin Seale, Philippine Marine Biological Station","",NA,NA,NA,NA,NA,120.953295,13.506196,NA,NA,NA,"",NA,NA,NA,NA,NA,"pardalis",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"Holothuroidea","Pacific Ocean",NA,"","GEOLocate","Pacific Ocean, Pacific, Western Central",NA,NA,NA,NA,NA,401,401,1,NA,NA,NA,"[no agent data]",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"61","2014-05-22 14:02:46.0",NA,"",NA,"Indonesia, Bay of Batavia","2014-07-13T01:09:07.095Z","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) pardalis",NA,"",NA,NA,NA,"whole animal (70% ethanol)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1849",NA,"","","PhysicalObject","4190e425-843e-4565-80d3-f88919940537","",NA,NA,NA,"Holothuria (Lessonothuria) pardalis",NA,NA,NA,NA,"",NA,"","","President and Fellows of Harvard College",NA,NA,NA,NA,"",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"PreservedSpecimen",0,"","Aspidochirotida","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1849",NA,NA,"",NA,NA,NA,"IZ","","",NA,NA,"MCZ:IZ:HOL-1849","",NA,NA,NA,NA,"",NA,NA,NA,"MCZ","Echinodermata",NA,"en",NA,"1700-01-01/2014-05-02",NA,"[date unknown]",NA,NA,"HOL-1849",NA,"",NA,"",NA,NA,NA,NA,NA,"ICZN",NA,NA,NA,"",NA,"Animalia","a7fb974d247bb15f588477d48e8204b207096235","",NA,"Holothuriidae",NA,NA,"not applicable",NA,"",NA,NA,"4190e425-843e-4565-80d3-f88919940537","Carel Philip Sluiter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"pardalis",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"Holothuroidea","Pacific Ocean",NA,"","","Pacific Ocean, Pacific, Western Central",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"[no agent data]",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"64","2014-06-09 14:24:30.0",NA,"",NA,"Australia, Queensland, Torres Strait, Murray Islands (Mer)","2014-07-12T21:35:52.986Z","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) pardalis",NA,"decimal degrees",NA,NA,NA,"whole animal (70% ethanol)","","WGS84","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1053",NA,"144.05164d","","PhysicalObject","bc2dcecd-17ba-4877-9fa8-770cafbf6db7","",NA,NA,NA,"Holothuria (Lessonothuria) pardalis",NA,NA,NA,NA,"-9.91518d",NA,"","","President and Fellows of Harvard College",NA,NA,NA,NA,"",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"PreservedSpecimen",0,"","Aspidochirotida","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1053",NA,NA,"",NA,NA,NA,"IZ","","unverified",NA,NA,"MCZ:IZ:HOL-1053","Jessica Anne Mullen",NA,NA,NA,NA,"",NA,NA,NA,"MCZ","Echinodermata",NA,"en",NA,"1913-10-01/1913-10-31",NA,"October 1913",NA,NA,"HOL-1053",NA,"",NA,"",NA,NA,NA,NA,NA,"ICZN",NA,NA,NA,"",NA,"Animalia","0b85649cf206bf56eb48da40e9ab368ed098d537","GEOLocate",NA,"Holothuriidae",NA,NA,"not applicable",NA,"",NA,NA,"bc2dcecd-17ba-4877-9fa8-770cafbf6db7","Carnegie Expedition to the Torres Strait, Hubert Lyman Clark","",NA,NA,NA,NA,NA,144.05164,-9.91518,NA,NA,NA,"",NA,NA,NA,NA,NA,"pardalis",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"Holothuroidea","Pacific Ocean",NA,"","GEOLocate","Pacific Ocean, Pacific, Western Central",NA,NA,NA,NA,NA,2768,2768,1,NA,NA,NA,"[no agent data]",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"357","2014-06-18 15:18:05.0",NA,"",NA,"Australia, New South Wales, Lord Howe Island","2014-07-13T03:45:56.016Z","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) pardalis",NA,"decimal degrees",NA,NA,NA,"whole animal (70% ethanol)","","WGS84","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1543",NA,"159.0727d","","PhysicalObject","b20572a0-836b-44f8-86ee-ebbf6d910000","",NA,NA,NA,"Holothuria (Lessonothuria) pardalis",NA,NA,NA,NA,"-31.532389d",NA,"","","President and Fellows of Harvard College",NA,NA,NA,NA,"",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"PreservedSpecimen",0,"","Aspidochirotida","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1543",NA,NA,"",NA,NA,NA,"IZ","","migration",NA,NA,"MCZ:IZ:HOL-1543","Penny Benson",NA,NA,NA,NA,"",NA,NA,NA,"MCZ","Echinodermata",NA,"en",NA,"1932-04-01/1932-04-30",NA,"April 1932",NA,NA,"HOL-1543",NA,"",NA,"",NA,NA,NA,NA,NA,"ICZN",NA,NA,NA,"",NA,"Animalia","18022a168a36a9eb48c4819e3c6549e7bf1392f8","GEOLocate",NA,"Holothuriidae",NA,NA,"not applicable",NA,"",NA,NA,"b20572a0-836b-44f8-86ee-ebbf6d910000","Hubert Lyman Clark, Harvard Australia Expedition 1931-1932","",NA,NA,NA,NA,NA,159.0727,-31.532389,NA,NA,NA,"",NA,NA,NA,NA,NA,"pardalis",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"Holothuroidea","Pacific Ocean",NA,"","GEOLocate","Pacific Ocean, Pacific, Southwest",NA,NA,NA,NA,NA,12662,12662,1,NA,NA,NA,"[no agent data]",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"613","2013-01-10 11:11:11.0",NA,"",NA,"off Queensland; Cumberland Grp., NE of Hayman Is., Great Barrier Reef,  Hook Reef [Australia]","2014-07-13T01:35:26.352Z","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) pardalis",NA,"",NA,NA,NA,"whole animal (dry)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4087",NA,"","Found dry on shelf in April 2007 by GCB.","PhysicalObject","5954e08d-132d-4d7b-99d7-b6846b5ed59b","",NA,NA,NA,"Holothuria (Lessonothuria) pardalis",NA,NA,NA,NA,"",NA,"","","President and Fellows of Harvard College",NA,NA,NA,NA,"",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"PreservedSpecimen",0,"","Aspidochirotida","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-4087",NA,NA,"",NA,NA,NA,"IZ","","",NA,NA,"MCZ:IZ:HOL-4087","",NA,NA,NA,NA,"",NA,NA,NA,"MCZ","Echinodermata",NA,"en",NA,"1700-01-01/2012-06-19",NA,"[no date data]",NA,NA,"HOL-4087",NA,"",NA,"",NA,NA,NA,NA,NA,"ICZN",NA,NA,NA,"",NA,"Animalia","b4ae8c66260166f78bbd97dbcde06a66998321a4","",NA,"Holothuriidae",NA,NA,"not applicable",NA,"",NA,NA,"5954e08d-132d-4d7b-99d7-b6846b5ed59b","[no agent data]","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"pardalis",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"Holothuroidea","Pacific Ocean",NA,"","","Pacific Ocean, Pacific, Western Central",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"[no agent data]",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
"622","2014-05-22 12:02:26.0",NA,"",NA,"Australia, Queensland, Frankland Islands","2014-07-12T16:51:29.044Z","Animalia Echinodermata Holothuroidea Aspidochirotida Holothuriidae Holothuria (Lessonothuria) pardalis",NA,"decimal degrees",NA,NA,NA,"whole animal (70% ethanol)","","WGS84","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1391",NA,"146.05d","","PhysicalObject","e644db6a-0bce-475b-9838-56893aaf0698","",NA,NA,NA,"Holothuria (Lessonothuria) pardalis",NA,NA,NA,NA,"-17.2d",NA,"","","President and Fellows of Harvard College",NA,NA,NA,NA,"",NA,NA,NA,"Selenka, 1867",NA,NA,NA,NA,NA,NA,"Museum of Comparative Zoology, Harvard University",NA,NA,NA,"PreservedSpecimen",0,"","Aspidochirotida","",NA,"http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:HOL-1391",NA,NA,"",NA,NA,NA,"IZ","","unverified",NA,NA,"MCZ:IZ:HOL-1391","Penny Benson",NA,NA,NA,NA,"",NA,NA,NA,"MCZ","Echinodermata",NA,"en",NA,"1700-01-01/1940-12-31",NA,"[date unknown]",NA,NA,"HOL-1391",NA,"",NA,"",NA,NA,NA,NA,NA,"ICZN",NA,NA,NA,"",NA,"Animalia","e5dfa750e0c16e79388f3e360904f91e7c9f53f7","GEOLocate",NA,"Holothuriidae",NA,NA,"not applicable",NA,"",NA,NA,"e644db6a-0bce-475b-9838-56893aaf0698","[no agent data]","",NA,NA,NA,NA,NA,146.05,-17.2,NA,NA,NA,"",NA,NA,NA,NA,NA,"pardalis",NA,NA,"872733a2-67a3-4c54-aa76-862735a5f334",NA,"Holothuroidea","Pacific Ocean",NA,"","GEOLocate","Pacific Ocean, Pacific, Western Central",NA,NA,NA,NA,NA,301,301,1,NA,NA,NA,"[no agent data]",NA,"b4640710-8e03-11d8-b956-b8a03c50a862",NA,NA,NA,NA,"Holothuria",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA
