"","inhs.instars_Female","dwc.taxonRemarks","inhs.locationTrs","idigbio.preservative","dwc.decimalLatitude","dwc.month","dwc.island","inhs.formII_females","dwc.nomenclaturalStatus","dwc.habitat","idigbio.version","dwc.establishmentMeans","dwc.identificationReferences","dwc.day","inhs.vouchered","idigbio.uuid","dwc.georeferenceVerificationStatus","dwc.georeferencedDate","dwc.group","dwc.latestEpochOrHighestSeries","inhs.location_RiverMile","dwc.rightsHolder","dwc.associatedReferences","dwc.identificationID","dwc.basisOfRecord","dwc.vernacularName","dwc.reproductiveCondition","idigbio.associatedFamily","dcterms.rightsHolder","dwc.georeferenceRemarks","idigbio.recordId","dwc.earliestPeriodOrLowestSystem","dwc.originalNameUsage","dwc.samplingEffort","inhs.instars_Male","dwc.maximumElevationInMeters","dwc.datasetName","dwc.kingdom","dwc.verbatimElevation","dwc.dynamicProperties","dwc.nomenclaturalCode","dwc.verbatimTaxonRank","dwc.footprintWKT","inhs.live","idigbio.associateRelationship","dwc.maximumDepthInMeters","dwc.phylum","idigbio.associateIdentifier","dwc.year","dwc.eventID","dwc.individualID","dwc.rights","inhs.juv_undetermined","dwc.startDayOfYear","dwc.typeStatus","dcterms.accessRights","idigbio.hostFamily","dcterms.bibliographicCitation","dwc.waterBody","inhs.formI_males","inhs.superfamily","dwc.bed","dwc.informationWithheld","dwc.higherClassification","dwc.occurrenceStatus","dwc.eventTime","inhs.relic","dwc.fieldNumber","dcterms.modified","dwc.verbatimLatitude","dwc.country","idigbio.associateCondition","dwc.samplingProtocol","dwc.minimumDepthInMeters","dwc.municipality","dwc.locality","dwc.eventRemarks","idigbio.substrate","inhs.location_Basin","dwc.earliestEraOrLowestErathem","dwc.VerbatimEventDate","dwc.continent","dwc.latestAgeOrHighestStage","dwc.earliestAgeOrLowestStage","dwc.ownerInstitutionCode","dwc.identificationRemarks","dwc.namePublishedInID","dwc.stateProvince","dwc.accessRights","dwc.georeferencedBy","dwc.identificationVerificationStatus","dwc.geodeticDatum","idigbio.tribe","dwc.institutionID","idigbio.subfamily","inhs.total_females","dwc.verbatimCoordinates","dwc.associatedOccurrences","dwc.locationID","dwc.previousIdentifications","dwc.institutionCode","dwc.higherGeography","dwc.individualCount","dwc.fieldNotes","dwc.county","dwc.scientificNameAuthorship","dcterms.reference","dwc.verbatimLongitude","dwc.taxonRank","dwc.recordedBy","dwc.lifeStage","dwc.genus","dcterms.rights","idigbio.associateAuthor","inhs.juv_females","dwc.nameAccordingTo","symbiotaverbatimScientificName","dwc.dataGeneralizations","dwc.georeferenceSources","dwc.locationAccordingTo","dcterms.references","dwc.verbatimEventDate","dwc.verbatimSRS","dwc.otherCatalogNumbers","dwc.lithostratigraphicTerms","idigbio.etag","dwc.collectionID","dwc.recordNumber","dwc.decimalLongitude","dwc.occurrenceID","dwc.family","idigbio.dateModified","dwc.georeferenceProtocol","dwc.subgenus","dwc.datasetID","idigbio.determinationHistory","inhs.formII_males","dwc.disposition","idigbio.barcodeValue","dwc.associatedSequences","inhs.juv_males","dwc.preparation","dwc.endDayOfYear","inhs.total_Males","dwc.islandGroup","idigbio.subgenus","dwc.latestPeriodOrHighestSystem","dwc.infraspecificEpithet","fcc.pickedBy","dwc.earliestEpochOrLowestSeries","dwc.coordinatePrecision","dwc.lowestBiostratigraphicZone","dcterms.type","idigbio.recordID","dwc.taxonID","id","dwc.occurrenceRemarks","idigbio.preparationCount","idigbio.recordIds","dcterms.language","dcterms.source","dwc.member","dwc.eventDate","dwc.minimumElevationInMeters","idigbio.associateNotes","dwc.collectionCode","dwc.preparations","inhs.location_Stream","fcc.datePicked","idigbio.associatedRelationship","fcc.subfamily","dwc.behavior","inhs.dead","dwc.namePublishedIn","dwc.identificationQualifier","dwc.verbatimLocality","dwc.verbatimCoordinateSystem","dwc.locationRemarks","dwc.associatedTaxa","dwc.scientificName","idigbio.associateCommonName","dwc.latestEraOrHighestErathem","dwc.class","row.number","dwc.coordinateUncertaintyInMeters","dwc.catalogNumber","dwc.order","idigbio.createdBy","dwc.dateIdentified","idigbio.associateDeterminedBy","dwc.sex","http...symbiota.org.terms.verbatimScientificName","dwc.scientificNameID","idigbio.endangeredStatus","dwc.associatedMedia","dwc.countryCode","fcc.superfamily","dwc.identifiedBy","dwc.verbatimDepth","symbiota.verbatimScientificName","dwc.specificEpithet","dwc.formation","dwc.relatedResourceID"
"451",NA,NA,NA,NA,13.5,8,NA,NA,NA,"",NA,NA,NA,9,NA,"2b16b832-c737-49cf-bdea-be713aec9999",NA,NA,NA,NA,NA,NA,"",NA,"PreservedSpecimen",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,1976,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","09/08/2014","","USA",NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"Mariana Islands",NA,"","","",NA,"",NA,NA,"","","UGI-Station-135",NA,"FLMNH","",NA,NA,"Guam Island","Jäger",NA,"",NA,"R.H. Randall",NA,"Holothuria",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"7a16aad0849cfb1f61791060b6bceefabcf20322",NA,"",144.8,"54CF1F22-8DE9-4B8E-81E1-84CA83715846","Holothuriidae","2014-09-12T11:49:40.275Z","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"2b16b832-c737-49cf-bdea-be713aec9999",NA,NA,NA,"",NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"Holothuria fuscopunctata",NA,NA,"Holothuroidea",NA,NA,"12214-Echinodermata","Aspidochirotida","872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,NA,NA,"",NA,NA,"","",NA,"fuscopunctata",NA,NA
"546",NA,NA,NA,NA,-5.133667,11,NA,NA,NA,"",NA,NA,NA,22,NA,"d71444f9-d0ce-436e-8bf0-4df39b283384",NA,NA,NA,NA,NA,NA,"",NA,"PreservedSpecimen",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,2012,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","09/08/2014","","Papua New Guinea",NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"Madang Province",NA,"","","",NA,"",NA,NA,"","","PR78",NA,"FLMNH","",NA,NA,"","Jäger",NA,"",NA,"Hugh Morrison, François Michonneau, Daisuke Uyeno, Inga Meyer-Wachsmuth",NA,"Holothuria",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"a5dfb66dd8d0c85a2986e4702fc8d392945efb33",NA,"",145.820999,"695EC3E6-9269-43D8-98A6-5012FC5FA962","Holothuriidae","2014-09-12T17:11:59.115Z","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"d71444f9-d0ce-436e-8bf0-4df39b283384",NA,NA,NA,"",NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"Holothuria fuscopunctata",NA,NA,"Holothuroidea",NA,NA,"15466-Echinodermata","Aspidochirotida","872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,NA,NA,"",NA,NA,"","",NA,"fuscopunctata",NA,NA
"706",NA,NA,NA,NA,-22.5694,10,NA,NA,NA,"",NA,NA,NA,31,NA,"b34d8461-f810-44ab-adc9-ca27be815e15",NA,NA,NA,NA,NA,NA,"",NA,"PreservedSpecimen",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,2013,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","09/08/2014","","France",NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"New Caledonia",NA,"","","",NA,"",NA,NA,"","","LOF10",NA,"FLMNH","",NA,NA,"","Jäger",NA,"",NA,"Nathaniel Evans",NA,"Holothuria",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"4c4f2c326eccefb154e71261b188861d452da295",NA,"",167.1961,"9B07D6B8-C6DD-49A6-B381-A5340175F69D","Holothuriidae","2014-09-12T10:25:04.480Z","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"b34d8461-f810-44ab-adc9-ca27be815e15",NA,NA,NA,"",NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"Holothuria fuscopunctata",NA,NA,"Holothuroidea",NA,NA,"15765-Echinodermata","Aspidochirotida","872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,NA,NA,"",NA,NA,"","",NA,"fuscopunctata",NA,NA
"812",NA,NA,NA,NA,9.2948,12,NA,NA,NA,"",NA,NA,NA,14,NA,"010a48cd-0b51-4800-b335-608869e02853",NA,NA,NA,NA,NA,NA,"",NA,"PreservedSpecimen",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,2009,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","09/08/2014","","Federated States of Micronesia",NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"Caroline Islands",NA,"","","",NA,"",NA,NA,"","","Kim-YAP-St-08",NA,"FLMNH","",NA,NA,"Yap Island","Jäger",NA,"",NA,"Sun Kim",NA,"Holothuria",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"8d8c2fc186396a2ee122e59b40c48341424ea3f7",NA,"",138.0739,"80338AA9-08E0-4972-923A-95A8242A16E8","Holothuriidae","2014-09-12T17:41:23.334Z","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"010a48cd-0b51-4800-b335-608869e02853",NA,NA,NA,"",NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"Holothuria fuscopunctata",NA,NA,"Holothuroidea",NA,NA,"11390-Echinodermata","Aspidochirotida","872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,NA,NA,"",NA,NA,"","",NA,"fuscopunctata",NA,NA
"1010",NA,NA,NA,NA,-18.86125,11,NA,NA,NA,"",NA,NA,NA,8,NA,"045512a6-bd9e-458e-96e4-5f3e81f83fc2",NA,NA,NA,NA,NA,NA,"",NA,"PreservedSpecimen",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,2013,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","09/08/2014","","France",NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"New Caledonia",NA,"","","",NA,"",NA,NA,"","","NEST16",NA,"FLMNH","",NA,NA,"","Jäger",NA,"",NA,"Nathaniel Evans",NA,"Holothuria",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"b198bf38fea7b5c94ee227d6b600a448f2f7076b",NA,"",163.53815,"909DFB7A-5ECC-41E4-BA95-79DEF9C05BCA","Holothuriidae","2014-09-12T09:29:21.383Z","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"045512a6-bd9e-458e-96e4-5f3e81f83fc2",NA,NA,NA,"",NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"Holothuria fuscopunctata",NA,NA,"Holothuroidea",NA,NA,"15779-Echinodermata","Aspidochirotida","872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,NA,NA,"",NA,NA,"","",NA,"fuscopunctata",NA,NA
"1076",NA,NA,NA,NA,13.59883333,7,NA,NA,NA,"",NA,NA,NA,16,NA,"954b20a5-b1a6-4ee9-993f-0a62d0382e1f",NA,NA,NA,NA,NA,NA,"",NA,"PreservedSpecimen",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"",NA,2003,NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","09/08/2014","","USA",NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,"","",NA,"Mariana Islands",NA,"","","",NA,"",NA,NA,"","","GP-Loc-775",NA,"FLMNH","",NA,NA,"Guam Island","Jäger",NA,"",NA,"Paulay, G., Malay, M., Bonito, V.",NA,"Holothuria",NA,NA,NA,NA,NA,NA,"",NA,"","",NA,"",NA,"b1b9a4590beda44dfb1def4d011e0201ebf14b85",NA,"",144.8355,"E4B78D76-92DC-4452-B64A-594C167F0447","Holothuriidae","2014-09-12T15:26:33.995Z","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"954b20a5-b1a6-4ee9-993f-0a62d0382e1f",NA,NA,NA,"",NA,NA,"",NA,NA,"Invertebrate Zoology","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"Holothuria fuscopunctata",NA,NA,"Holothuroidea",NA,NA,"1689-Echinodermata","Aspidochirotida","872733a2-67a3-4c54-aa76-862735a5f334","",NA,"",NA,NA,NA,"",NA,NA,"","",NA,"fuscopunctata",NA,NA
