"1357",NA,11.7183,NA,NA,NA,"","09/08/2014",10,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","DJRS-021",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"DA40D930-7C27-4686-887D-42E89EE75B38",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,2,NA,"b3bad337-2a79-47a2-b063-5f8e52c9bbfe",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,43.1561,"",2012,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"e006b8f632c300174458c90ac3f3c0134c7b0ade","",NA,NA,NA,"2014-09-12T12:24:34.947Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"Gustav Paulay","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"Djibouti",NA,"",NA,NA,"","11957-Echinodermata",NA,NA,NA,"b3bad337-2a79-47a2-b063-5f8e52c9bbfe",NA,NA,NA,NA
"1385",NA,13.5,NA,NA,NA,"","09/08/2014",7,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"Guam Island","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","GP-Loc-764",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"312E231D-6082-443C-A820-92DAC00ECE58",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,19,NA,"484b02bb-d984-4201-8032-82fcb5d6a2dc",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","Mariana Islands",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,144.8,"",2003,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"d7a79b87dc5109723cdc0cffb2e0730eb4641463","",NA,NA,NA,"2014-09-12T11:12:58.762Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"Paulay, G., Malay, M., Bonito, V.","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"USA",NA,"",NA,NA,"","4710-Echinodermata",NA,NA,NA,"484b02bb-d984-4201-8032-82fcb5d6a2dc",NA,NA,NA,NA
"1436",NA,5.29649,NA,NA,NA,"","09/08/2014",2,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"Kosrae Island","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","KOSR-09",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"B023A0E2-6D80-4FBF-9300-44E130E02AD4",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,27,NA,"37f1afd9-b901-4adc-b0a0-5054c125239f",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","Caroline Islands",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,162.8981,"",2008,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"4b2e35269949fc915d21706255dd8933f5c94f2d","",NA,NA,NA,"2014-09-12T16:20:35.202Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"Sun Kim, Alex Kerr, François Michonneau","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"Federated States of Micronesia",NA,"",NA,NA,"","6926-Echinodermata",NA,NA,NA,"37f1afd9-b901-4adc-b0a0-5054c125239f",NA,NA,NA,NA
"1609",NA,19.5707,NA,NA,NA,"","09/08/2014",3,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","SAFA-003",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"831A36C9-DE65-4FAD-92B8-853250228EF0",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,3,NA,"a3fb7c3b-5fa4-4d12-bf1f-dc3467b702f5",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,40.00878,"",2013,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"6f22bb0b52d982a5ea2abc5db689c24bac364299","",NA,NA,NA,"2014-09-12T13:33:44.155Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"Patrick Norby, Gustav Paulay","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"Saudi Arabia",NA,"",NA,NA,"","13386-Echinodermata",NA,NA,NA,"a3fb7c3b-5fa4-4d12-bf1f-dc3467b702f5",NA,NA,NA,NA
"1725",NA,5.33002,NA,NA,NA,"","09/08/2014",3,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"Kosrae Island","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","KOSR-20",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"E6F4211A-36EB-4FAC-8AF0-DE153C85E2A5",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,5,NA,"75909a0d-2794-4c4f-b995-f0c4cc6d867c",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","Caroline Islands",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,163.02465,"",2008,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"0aa5bb3b216f7e49c3b227d76f4fa80a84474d04","",NA,NA,NA,"2014-09-12T16:21:34.981Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"Federated States of Micronesia",NA,"",NA,NA,"","6979-Echinodermata",NA,NA,NA,"75909a0d-2794-4c4f-b995-f0c4cc6d867c",NA,NA,NA,NA
"1760",NA,19.5707,NA,NA,NA,"","09/08/2014",3,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","SAFA-003",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"89ECB33A-89C0-434C-8DCB-7C3DCD1155C2",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,3,NA,"e6cca818-e0ec-4a0b-a1c7-c5663f953812",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,40.00878,"",2013,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"067a8bac1d7bbe77ac12054c4911e26256a7a303","",NA,NA,NA,"2014-09-12T16:04:11.890Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"Patrick Norby, Gustav Paulay","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"Saudi Arabia",NA,"",NA,NA,"","13385-Echinodermata",NA,NA,NA,"e6cca818-e0ec-4a0b-a1c7-c5663f953812",NA,NA,NA,NA
"2237",NA,-5.198333,NA,NA,NA,"","09/08/2014",12,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","PR148",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"1016C5C6-137E-4C11-80B2-3B7719838741",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,1,NA,"fc7219e4-a95c-4da5-bfa6-9ee1f6b424b9",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","Madang Province",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,145.827332,"",2012,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"83611b4a35c258ce29b936445e7a1cf45d6cb844","",NA,NA,NA,"2014-09-12T16:29:05.098Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"Papua New Guinea",NA,"",NA,NA,"","15506-Echinodermata",NA,NA,NA,"fc7219e4-a95c-4da5-bfa6-9ee1f6b424b9",NA,NA,NA,NA
"2323",NA,-17.47579,NA,NA,NA,"","09/08/2014",10,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"Moorea Island","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","MIB_128",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"FDC54F34-5342-4B1C-8179-047E5AE419AB",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,24,NA,"2aabb18d-df32-4638-946c-2223a1a2ae40",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","Society Islands",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,-149.83142,"",2008,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"e1496ea7937292959af28877b68a8b96b21ac904","",NA,NA,NA,"2014-09-12T15:02:55.233Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"S. Fay, J. Moore, S. McKeon, C. Meyer, G. Paulay","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"French Polynesia",NA,"",NA,NA,"","8032-Echinodermata",NA,NA,NA,"2aabb18d-df32-4638-946c-2223a1a2ae40",NA,NA,NA,NA
"2340",NA,13.5,NA,NA,NA,"","09/08/2014",7,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"Guam Island","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","GP-Loc-764",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"6B212D89-690E-482C-82A1-09B4B529053C",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,19,NA,"b76bc387-06a9-4738-b2cd-522be0f83cec",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","Mariana Islands",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,144.8,"",2003,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"448fa80d9979827bd7e26ca6394ca4ed6d713481","",NA,NA,NA,"2014-09-12T16:40:48.980Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"Paulay, G., Malay, M., Bonito, V.","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"USA",NA,"",NA,NA,"","4711-Echinodermata",NA,NA,NA,"b76bc387-06a9-4738-b2cd-522be0f83cec",NA,NA,NA,NA
"2457",NA,26.441384,NA,NA,NA,"","09/08/2014",5,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"Okinawa","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","FMOK11-St-26",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"AF872419-7C20-4DE9-ACE5-0924DCA6E7E1",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,17,NA,"12171262-9ca9-4d9d-9a2b-712b82c1fe6f",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","Ryukyus",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,127.71154,"",2011,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"3abd4ceb0dd671ea855311e1644d7afbd27dcb57","",NA,NA,NA,"2014-09-12T12:30:46.450Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"Yuki Miyaoka","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"Japan",NA,"",NA,NA,"","10995-Echinodermata",NA,NA,NA,"12171262-9ca9-4d9d-9a2b-712b82c1fe6f",NA,NA,NA,NA
"2586",NA,13.5,NA,NA,NA,"","09/08/2014",7,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"Guam Island","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","GP-Loc-764",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"84EF7D0E-B1A9-40C0-9A97-2127F2E6F75E",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,19,NA,"39aafa3b-a850-461c-812c-da9ddd077e0c",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","Mariana Islands",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,144.8,"",2003,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"752c5319d26252d930fb3b5c463254a235c5a3fa","",NA,NA,NA,"2014-09-12T16:31:20.881Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"Paulay, G., Malay, M., Bonito, V.","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"USA",NA,"",NA,NA,"","4712-Echinodermata",NA,NA,NA,"39aafa3b-a850-461c-812c-da9ddd077e0c",NA,NA,NA,NA
"2774",NA,19.5707,NA,NA,NA,"","09/08/2014",3,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","SAFA-003",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"3018C91E-A30B-4C2A-A803-B625EF9ED3C2",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,3,NA,"1ecfece0-6531-4e3f-8841-94b008c55681",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,40.00878,"",2013,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"8513a5cd46deb21624d98ea9a8f769e3853886a4","",NA,NA,NA,"2014-09-12T09:53:40.118Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"Patrick Norby, Gustav Paulay","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"Saudi Arabia",NA,"",NA,NA,"","13486-Echinodermata",NA,NA,NA,"1ecfece0-6531-4e3f-8841-94b008c55681",NA,NA,NA,NA
"2799",NA,9.332,NA,NA,NA,"","09/08/2014",12,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"Yap Island","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","Kim-YAP-St-03",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"EBC5902D-62B1-4F05-875B-3164E08AA18E",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,11,NA,"96989196-7ad1-4fda-a53d-8c2cb2b1c5dd",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","Caroline Islands",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,138.0557,"",2009,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"1f9563e4fc7ebcdc32ed6ba3fe698074458f84f5","",NA,NA,NA,"2014-09-12T09:44:11.990Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"Sun Kim","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"Federated States of Micronesia",NA,"",NA,NA,"","11396-Echinodermata",NA,NA,NA,"96989196-7ad1-4fda-a53d-8c2cb2b1c5dd",NA,NA,NA,NA
"2843",NA,13.5,NA,NA,NA,"","09/08/2014",7,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"Guam Island","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","UGI-Station-253",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"AB3916B2-EE52-467D-855D-94F4D5257470",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,7,NA,"33052140-126d-4462-8f7d-2a64bf98fc28",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","Mariana Islands",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,144.8,"",1991,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"284bb38081980cbead596cdc64afcd394f4f501c","",NA,NA,NA,"2014-09-12T12:41:27.590Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"Alex Kerr","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"USA",NA,"",NA,NA,"","12348-Echinodermata",NA,NA,NA,"33052140-126d-4462-8f7d-2a64bf98fc28",NA,NA,NA,NA
"2868",NA,9.95152,NA,NA,NA,"","09/08/2014",6,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","SEMP-17",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"2851CC18-7ACB-4C8A-9B3F-9102CBFEC95C",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,1,NA,"422066a1-c2d6-4051-b775-eb002d15e60c",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","Cebu",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,123.36399,"",2006,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"5d37c411704de11b3c652b71b026e702d991900b","",NA,NA,NA,"2014-09-12T17:22:39.811Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"Kris Netchy & Alex Kerr","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"Philippines",NA,"",NA,NA,"","5586-Echinodermata",NA,NA,NA,"422066a1-c2d6-4051-b775-eb002d15e60c",NA,NA,NA,NA
"2883",NA,28.184617,NA,NA,NA,"","09/08/2014",10,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,"","Cherbonnier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"FLMNH",NA,NA,NA,NA,"",NA,"",NA,"","","Holothuriidae",NA,"","Aspidochirotida",NA,NA,NA,"","NORS-17E",NA,NA,NA,NA,NA,NA,"","PreservedSpecimen",NA,"",NA,NA,NA,"F8D9025F-544F-4282-BABF-8540E502F502",NA,NA,NA,NA,NA,"Holothuria",NA,"",NA,NA,1,NA,"163a2f0a-3fea-4f13-a062-d7676368b547",NA,"","turriscelsa",NA,NA,"",NA,"Invertebrate Zoology",NA,NA,"","","",NA,NA,NA,"","",NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,NA,"",NA,"",NA,NA,"","872733a2-67a3-4c54-aa76-862735a5f334",NA,NA,NA,NA,34.638117,"",2013,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"4716583f7dba31af307b1b8db2a378a0bc7999d4","",NA,NA,NA,"2014-09-12T18:52:10.538Z","",NA,NA,"","","Holothuroidea",NA,NA,NA,"Gustav Paulay, Daisuke Uyeno, Casey Zakroff","","",NA,"Holothuria turriscelsa",NA,"","",NA,NA,NA,"Saudi Arabia",NA,"",NA,NA,"","14230-Echinodermata",NA,NA,NA,"163a2f0a-3fea-4f13-a062-d7676368b547",NA,NA,NA,NA
