"","dwc.identificationVerificationStatus","inhs.vouchered","dwc.member","dwc.earliestPeriodOrLowestSystem","dwc.reproductiveCondition","inhs.juv_males","idigbio.subfamily","dwc.islandGroup","dwc.scientificName","dwc.verbatimSRS","idigbio.determinationHistory","idigbio.recordIds","dwc.latestAgeOrHighestStage","dwc.latestEpochOrHighestSeries","dwc.behavior","dwc.minimumElevationInMeters","dwc.georeferencedBy","dwc.establishmentMeans","dwc.samplingProtocol","idigbio.createdBy","dwc.specificEpithet","dwc.verbatimLongitude","dwc.geodeticDatum","dwc.phylum","inhs.dead","dwc.accessRights","idigbio.associatedFamily","idigbio.barcodeValue","dwc.preparations","dwc.coordinatePrecision","inhs.juv_undetermined","idigbio.tribe","inhs.location_RiverMile","dwc.kingdom","dwc.decimalLongitude","dwc.georeferenceProtocol","dwc.institutionCode","dwc.recordedBy","dwc.country","dwc.county","dwc.lowestBiostratigraphicZone","dwc.associatedTaxa","dwc.year","inhs.formI_males","inhs.instars_Female","idigbio.subgenus","dwc.VerbatimEventDate","dcterms.language","dcterms.references","dwc.scientificNameID","dwc.municipality","dwc.occurrenceStatus","dwc.island","idigbio.dateModified","dwc.lithostratigraphicTerms","dwc.identificationRemarks","dwc.associatedSequences","idigbio.associateNotes","dwc.basisOfRecord","dwc.collectionID","dwc.otherCatalogNumbers","dwc.samplingEffort","fcc.pickedBy","dcterms.type","dwc.earliestEraOrLowestErathem","idigbio.version","inhs.formII_males","dwc.locationRemarks","dwc.countryCode","inhs.total_Males","dwc.originalNameUsage","dwc.earliestEpochOrLowestSeries","dwc.subgenus","idigbio.uuid","inhs.instars_Male","dwc.recordNumber","dwc.day","dwc.individualCount","dwc.formation","dwc.taxonRank","dwc.endDayOfYear","dwc.locationAccordingTo","dwc.rights","inhs.location_Basin","dwc.month","dwc.nameAccordingTo","symbiota.verbatimScientificName","dwc.datasetID","inhs.relic","idigbio.preparationCount","dwc.verbatimDepth","dwc.occurrenceRemarks","idigbio.associateIdentifier","dwc.dynamicProperties","idigbio.associateAuthor","dwc.group","idigbio.etag","dcterms.modified","inhs.live","dwc.higherClassification","dwc.namePublishedInID","dwc.nomenclaturalStatus","idigbio.associateCondition","http...symbiota.org.terms.verbatimScientificName","row.number","dwc.georeferencedDate","dwc.footprintWKT","dwc.higherGeography","dwc.taxonRemarks","dwc.latestEraOrHighestErathem","dwc.verbatimLatitude","dwc.sex","dwc.georeferenceVerificationStatus","dwc.ownerInstitutionCode","dwc.georeferenceSources","dwc.maximumDepthInMeters","dwc.latestPeriodOrHighestSystem","fcc.superfamily","dwc.associatedMedia","dwc.dateIdentified","dwc.habitat","dcterms.reference","dwc.family","dwc.namePublishedIn","dwc.genus","dwc.taxonID","inhs.locationTrs","dwc.identificationQualifier","dcterms.rights","dwc.scientificNameAuthorship","dwc.rightsHolder","dwc.datasetName","dwc.coordinateUncertaintyInMeters","dwc.verbatimElevation","symbiotaverbatimScientificName","dwc.eventID","idigbio.hostFamily","dwc.informationWithheld","fcc.datePicked","dwc.catalogNumber","dwc.typeStatus","dcterms.source","dwc.stateProvince","dwc.eventRemarks","dcterms.rightsHolder","inhs.formII_females","dwc.occurrenceID","dwc.fieldNumber","dwc.identifiedBy","dwc.verbatimLocality","dwc.earliestAgeOrLowestStage","dwc.verbatimTaxonRank","fcc.subfamily","dwc.disposition","id","dwc.identificationID","dwc.associatedReferences","dwc.minimumDepthInMeters","dwc.identificationReferences","dwc.fieldNotes","dwc.decimalLatitude","dwc.dataGeneralizations","dwc.verbatimEventDate","idigbio.preservative","idigbio.recordID","dwc.startDayOfYear","dcterms.bibliographicCitation","idigbio.associateCommonName","dwc.collectionCode","dcterms.accessRights","dwc.institutionID","dwc.bed","dwc.georeferenceRemarks","dwc.locationID","dwc.eventDate","dwc.infraspecificEpithet","inhs.location_Stream","dwc.verbatimCoordinates","inhs.superfamily","inhs.total_females","idigbio.associatedRelationship","dwc.preparation","dwc.nomenclaturalCode","idigbio.substrate","dwc.waterBody","dwc.order","dwc.locality","idigbio.associateRelationship","idigbio.associateDeterminedBy","dwc.relatedResourceID","dwc.class","dwc.associatedOccurrences","dwc.individualID","dwc.verbatimCoordinateSystem","dwc.eventTime","dwc.previousIdentifications","dwc.vernacularName","idigbio.recordId","dwc.maximumElevationInMeters","dwc.lifeStage","idigbio.endangeredStatus","dwc.continent","inhs.juv_females"
"91","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",144.8,"","FLMNH","Starmer, J.","USA","Guam Island",NA,NA,1984,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T13:32:27.163Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"9c536638-a065-47d8-846d-db30f51788a9",NA,"",22,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"39224c54227d7239a56b93304c50a38ccc4922f7","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"192-Echinodermata","",NA,"Mariana Islands","","",NA,"7EADA0D6-56E9-4BB9-AFD4-149CDC23346C","","",NA,NA,NA,NA,"","9c536638-a065-47d8-846d-db30f51788a9",NA,"",NA,NA,NA,13.5,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","ZZZ-085800","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"96","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",163.09553,"","FLMNH","Nathaniel Evans","France","",NA,NA,2013,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T13:37:31.565Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"d74bdbfa-2d27-47b3-bb72-8d8ca069741a",NA,"",20,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"2d10499ba7c3bb0611d155a95ba188c08203fdcf","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15967-Echinodermata","",NA,"New Caledonia","","",NA,"2EE83F2F-ED48-4780-A49C-03D7B8CF05B2","","",NA,NA,NA,NA,"","d74bdbfa-2d27-47b3-bb72-8d8ca069741a",NA,"",NA,NA,NA,-18.48788,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","NEST31","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"118","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",-157.929,"","FLMNH","J. Earle, J. Hoover, G. Paulay","USA","Oahu Island",NA,NA,2006,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T14:12:09.474Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"2e95b746-cf98-4295-8d48-a5d7a847027f",NA,"",25,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"31623d10cac57c82ecf09e593edafcaf0cffc975","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4806-Echinodermata","",NA,"Hawaiian Islands","","",NA,"0D1C5D24-B45C-40D9-B910-869AC269646F","","",NA,NA,NA,NA,"","2e95b746-cf98-4295-8d48-a5d7a847027f",NA,"",NA,NA,NA,21.2971333333333,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","GP-Loc-854","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"122","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",144.8,"","FLMNH","Paulay, G.","USA","Guam Island",NA,NA,1984,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T14:19:16.417Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"34b86a1c-3cf8-4d85-af2a-4f8aad786c72",NA,"",22,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"7e6e08ad673099302de265d1dd05f4731ad186ab","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"185-Echinodermata","",NA,"Mariana Islands","","",NA,"6675EA54-5327-4D5C-BA7B-75A5637C2533","","",NA,NA,NA,NA,"","34b86a1c-3cf8-4d85-af2a-4f8aad786c72",NA,"",NA,NA,NA,13.5,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","ZZZ-085812","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"148","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",55.2256,"","FLMNH","Nicolas Hubert & Francois Michonneau","France","Reunion Island",NA,NA,2007,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T09:46:39.841Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"d7eb5ab9-f1a9-4917-9409-d5f56e06d385",NA,"",25,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"7082354a104a07e398cd5c85a28a69826868e753","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6338-Echinodermata","",NA,"Mascarene Islands","","",NA,"1B272634-AC06-41A5-9EA6-D45866FAB59B","","",NA,NA,NA,NA,"","d7eb5ab9-f1a9-4917-9409-d5f56e06d385",NA,"",NA,NA,NA,-21.0787,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","SWIO-FM33","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"206","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",144.8,"","FLMNH","Starmer, J.","USA","Guam Island",NA,NA,1998,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T12:33:15.428Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"9afd0f58-71db-4acd-ab53-249303efb549",NA,"",10,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"f25d15b09c07ffaf1f8477b14084ac248a4c09a7","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"196-Echinodermata","",NA,"Mariana Islands","","",NA,"7FE7A7B5-A365-4A3C-8361-1BBDBE0937A6","","",NA,NA,NA,NA,"","9afd0f58-71db-4acd-ab53-249303efb549",NA,"",NA,NA,NA,13.5,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","ZZZ-085797","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"221","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",48.33157,"","FLMNH","A. Anker, G. Bakary, F. Michonneau, G. Paulay, T. Werner","Madagascar","",NA,NA,2008,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T17:14:08.851Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"0488c222-ced2-46bb-9562-46a2e78ea79d",NA,"",26,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"c9a5013c163fb8176c359782f00ffa6fa8f00487","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7309-Echinodermata","",NA,"","","",NA,"45B032AF-F042-46A5-900F-E24F9E3ED659","","",NA,NA,NA,NA,"","0488c222-ced2-46bb-9562-46a2e78ea79d",NA,"",NA,NA,NA,-13.44624,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","MGNW-51","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
"232","",NA,NA,NA,NA,NA,NA,NA,"Holothuria verrucosa",NA,NA,NA,NA,NA,NA,NA,"",NA,"","872733a2-67a3-4c54-aa76-862735a5f334","verrucosa","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",-149.8872,"","FLMNH","Christian McKeon, Chris Meyer, Gustav Paulay","French Polynesia","Moorea Island",NA,NA,2006,NA,NA,NA,NA,"","",NA,NA,NA,NA,"2014-09-12T16:30:19.714Z",NA,"",NA,NA,"PreservedSpecimen",NA,"",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,"fc39b7d5-c43d-4982-a17f-31291d11d410",NA,"",8,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"e5e3a41d3d4a93f71acd7c14a2adff3681b15bb1","09/08/2014",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,NA,NA,"","","",NA,"Holothuriidae",NA,"Holothuria",NA,NA,NA,NA,"Selenka",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5272-Echinodermata","",NA,"Society Islands","","",NA,"13D0BD67-69B6-4623-9ECE-4A3A25548591","","",NA,NA,NA,NA,"","fc39b7d5-c43d-4982-a17f-31291d11d410",NA,"",NA,NA,NA,-17.5597,NA,"",NA,NA,NA,NA,NA,"Invertebrate Zoology",NA,"",NA,"","GP-Loc-905","","",NA,"",NA,NA,NA,NA,"",NA,"","Aspidochirotida","",NA,NA,NA,"Holothuroidea","",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA
